NomeOriginale,NomeUnificato,Modificato
1° IC Giovanni VERGA - Sr,1° IC Giovanni VERGA - Sr,False
A. VOLTA,A. VOLTA,False
A.B.A./T.C.A. MILANO,A.B.A./T.C.A. MILANO,False
A.B.S.GIORGIO SANNIO,A.B.S.GIORGIO SANNIO,False
A.B.SAN GIORGIO DEL SANNIO,A.B.SAN GIORGIO DEL SANNIO,False
A.BERGAMASCA BR.LORETO,A.BERGAMASCA BR.LORETO,False
A.BR.ASCOLI PICENO-C.LO CITT.,A.BR.ASCOLI PICENO-C.LO CITT.,False
A.BR.CIRCOLO 1871 CATANZARO,A.BR.CIRCOLO 1871 CATANZARO,False
A.BR.NINO MARCON VE,A.BR.NINO MARCON VE,False
A.BRIDGE CIRCOLO 1871,A.BRIDGE CIRCOLO 1871,False
A.S.D. MES AMIS,A.S.D. MES AMIS,False
A.S.D. SPORTING CLUB MILANO  2,A.S.D. SPORTING CLUB MILANO  2,False
A.S.D.ALESSANDRIA BRIDGE,A.S.D.ALESSANDRIA BRIDGE,False
A.S.GIOCO BRIDGE ETRURIA,A.S.GIOCO BRIDGE ETRURIA,False
A.SP.BLUE BRIDGE RM,A.SP.BLUE BRIDGE RM,False
ABBADIA S.SALVATORE,ABBADIA S.SALVATORE,False
ABP SOCIALE 1806,ABP SOCIALE 1806,False
ACCADEMIA DEL BRIDGE,ACCADEMIA DEL BRIDGE,False
ACSD LA MONGOLFIERA,ACSD LA MONGOLFIERA,False
AGORA' ASD BRIDGE CLUB,AGORA' ASD BRIDGE CLUB,False
ALBA BRIDGE CLUB,ALBA BRIDGE CLUB,False
ALESSANDRIA BRIDGE A.S.D.,ALESSANDRIA BRIDGE A.S.D.,False
ALPI APUANE,ALPI APUANE,False
ALPI APUANE CASTELLO DI SAN GIORGIO,ALPI APUANE CASTELLO DI SAN GIORGIO,False
AMICI BRIDGE ABRUZZO,AMICI BRIDGE ABRUZZO,False
AMICI BRIDGE OLGIATA,AMICI BRIDGE OLGIATA,False
AMICI DEL BRIDGE BARI,AMICI DEL BRIDGE BARI,False
AMICI DEL BRIDGE FIRENZE,AMICI DEL BRIDGE FIRENZE,False
AMICI DEL BRIDGE RI,AMICI DEL BRIDGE RI,False
ANGOLO VERDE PG,ANGOLO VERDE PG,False
ANKON BRIDGE,ANKON BRIDGE,False
ANKON BRIDGE – RIVIERA DEL CONERO,ANKON BRIDGE – RIVIERA DEL CONERO,False
ANTICO TIRO A VOLO - BR. A.S.D,ANTICO TIRO A VOLO - BR. A.S.D,False
ANZIO &  NETTUNO BRIDGE CLUB ASD,ANZIO &  NETTUNO BRIDGE CLUB ASD,False
APD C.LO CANOTTIERI ROMA,APD C.LO CANOTTIERI ROMA,False
APD FONTE ROMAEUR,APD FONTE ROMAEUR,False
APD TENNIS CLUB PRESIDENT,APD TENNIS CLUB PRESIDENT,False
APSD C.MAGISTRATI C.C.,APSD C.MAGISTRATI C.C.,False
ARBAREE BRIDGE,ARBAREE BRIDGE,False
ARCA BRIDGE ASD,ARCA BRIDGE ASD,False
ARCADIA BENBRIDGE SSD A R.L.,ARCADIA BENBRIDGE SSD A R.L.,False
ARONA BRIDGE CLUB 50,ARONA BRIDGE CLUB 50,False
ASD C.LO BR. PESCARA RIVIERA,ASD C.LO BR. PESCARA RIVIERA,False
ASD C.LO CITTADINO FROSINONE,ASD C.LO CITTADINO FROSINONE,False
ASD C.LO TENNIS PALERMO,ASD C.LO TENNIS PALERMO,False
ASD CANOTTIERI TICINO PAVIA,ASD CANOTTIERI TICINO PAVIA,False
ASD CIRCOLO BOCCIOFILA LIDO,ASD CIRCOLO BOCCIOFILA LIDO,False
ASD CIRCOLO CITTADINO FROSINONE,ASD CIRCOLO CITTADINO FROSINONE,False
ASD CITTA' DI LECCO,ASD CITTA' DI LECCO,False
ASD CLUB IPPOCAMPO,ASD CLUB IPPOCAMPO,False
ASD CLUB VILLA BORGHESE,ASD CLUB VILLA BORGHESE,False
ASD CRCD UNIVERSITA' FIRENZE,ASD CRCD UNIVERSITA' FIRENZE,False
ASD GOLF CLUB CARIMATE,ASD GOLF CLUB CARIMATE,False
ASD GOLF CLUB VILLA CAROLINA,ASD GOLF CLUB VILLA CAROLINA,False
ASD MOTONAUTICA PV,ASD MOTONAUTICA PV,False
ASD POL RAILWAY SPORTS,ASD POL RAILWAY SPORTS,False
ASD POLISPORTIVA GRIFONE,ASD POLISPORTIVA GRIFONE,False
ASD SOC GINNASTICA ANGIULLI,ASD SOC GINNASTICA ANGIULLI,False
ASD SOCIALTENNIS CLUB,ASD SOCIALTENNIS CLUB,False
ASD SPORTING STELLE DEL SUD,ASD SPORTING STELLE DEL SUD,False
ASD TENNIS CL.CAGLIARI,ASD TENNIS CL.CAGLIARI,False
ASD TENNIS CLUB PADOVA,ASD TENNIS CLUB PADOVA,False
ASD TENNIS CLUB PARMA,ASD TENNIS CLUB PARMA,False
ASD TENNIS ROMA,ASD TENNIS ROMA,False
ASS.BR. CIRCOLO SOCIALE 1806,ASS.BR. CIRCOLO SOCIALE 1806,False
ASS.BR.ARGENTARIO,ASS.BR.ARGENTARIO,False
ASS.BR.BOLZANO,ASS.BR.BOLZANO,False
ASS.BR.PALERMO,ASS.BR.PALERMO,False
"ASS.BRIDGE ""CIRCOLO UNIONE""","ASS.BRIDGE ""CIRCOLO UNIONE""",False
ASS.BRIDGE CELICO ASD,ASS.BRIDGE CELICO ASD,False
ASS.BRIDGE PISA,ASS.BRIDGE PISA,False
ASS.BRIDGE SORA,ASS.BRIDGE SORA,False
ASS.BRIDGE TORINO,ASS.BRIDGE TORINO,False
ASS.IT.ROTARIANI BR.,ASS.IT.ROTARIANI BR.,False
ASS.POLISPORTIVA DIL.PALOCCO,ASS.POLISPORTIVA DIL.PALOCCO,False
ASS.RIMINI BRIDGE,ASS.RIMINI BRIDGE,False
ASS.SP.DILETTANTISTICA BRIDGE COSENZA,ASS.SP.DILETTANTISTICA BRIDGE COSENZA,False
ASSI NEL MONDO,ASSI NEL MONDO,False
ASSOCIATO ALLEGRA,ASSOCIATO ALLEGRA,False
ASSOCIAZIONE BRIDGE CREMA,ASSOCIAZIONE BRIDGE CREMA,False
ASSOCIAZIONE SPORTIVA AMP - ASD,ASSOCIAZIONE SPORTIVA AMP - ASD,False
AURELIA BRIDGE CLUB,AURELIA BRIDGE CLUB,False
AVELLINO BRIDGE,AVELLINO BRIDGE,False
Augusto Righi - RM,Augusto Righi - RM,False
B.CLUB MASSALOMBARDA,B.CLUB MASSALOMBARDA,False
B.RIVIERA PALME S.BENEDETTO T.,B.RIVIERA PALME S.BENEDETTO T.,False
BASSANO BRIDGE,BASSANO BRIDGE,False
BAVENO BRIDGE CLUB,BAVENO BRIDGE CLUB,False
BCM BR.CLUB MERATE,BCM BR.CLUB MERATE,False
BELLAVISTA BRIDGE CLUB A.S.D.,BELLAVISTA BRIDGE CLUB A.S.D.,False
BELLUNO BRIDGE,BELLUNO BRIDGE,False
BERGAMASCA BRIDGE,BERGAMASCA BRIDGE,False
BIA A R.L.,BIA A R.L.,False
BITALBRIDGE,BITALBRIDGE,False
BONELLI LINO,BONELLI LINO,False
BR.ASS.COMOCANTUHELIOS,BR.ASS.COMOCANTUHELIOS,False
BR.CL.NUOVA CASALE A.S.D.,BR.CL.NUOVA CASALE A.S.D.,False
BR.FERMO-P.TO S.GIORGIO,BR.FERMO-P.TO S.GIORGIO,False
BR.FILARMONICA MACERATA,BR.FILARMONICA MACERATA,False
BR.G.CABOTO - GAETA,BR.G.CABOTO - GAETA,False
BR.LAVENO MOMBELLO,BR.LAVENO MOMBELLO,False
"BR.MODENA ""C.LO PERROUX""","BR.MODENA ""C.LO PERROUX""",False
BR.MONFORTE CAMPOBASSO,BR.MONFORTE CAMPOBASSO,False
BR.SERSANTI-IMOLA,BR.SERSANTI-IMOLA,False
BR.SPORTING CLUB S.SEVERO,BR.SPORTING CLUB S.SEVERO,False
