Anno,Circolo,Tesserati,GareTotali,PuntiTotali
2017,C0017,4,4.0,502.0
2017,C0026,1,11.0,305.0
2017,C0028,1,1.0,138.0
2017,C0030,6,7.0,546.0
2017,C0038,11,135.0,4806.0
2017,C0050,1,9.0,81.0
2017,C0102,1,16.0,378.0
2017,C0127,9,68.0,3381.0
2017,C0162,1,5.0,64.0
2017,C0174,2,137.0,2725.0
2017,C0202,1,6.0,87.0
2017,C0214,8,116.0,1996.0
2017,C0217,2,6.0,272.0
2017,C0224,1,7.0,81.0
2017,C0229,1,42.0,1446.0
2017,C0244,2,92.0,1026.0
2017,C0326,1,2.0,900.0
2017,C0333,1,1.0,3.0
2017,C0376,1,2.0,10.0
2017,C0429,3,27.0,384.0
2017,C0430,4,93.0,1369.0
2017,C0447,2,63.0,1510.0
2017,C0466,1,3.0,7.0
2017,C0503,1,35.0,2668.0
2017,C0504,1,1.0,242.0
2017,C0539,2,45.0,1567.0
2017,C0546,2,59.0,2930.0
2017,C0577,1,17.0,357.0
2017,C0596,2,18.0,189.0
2017,C0644,1,89.0,1572.0
2017,C0674,3,38.0,1317.0
2017,C0719,5,108.0,3373.0
2017,C0722,7,132.0,2942.0
2017,C0726,1,28.0,854.0
2017,C0729,2,3.0,7.0
2017,C0734,2,143.0,3301.0
2017,C0741,1,6.0,84.0
2017,C1601,1,2.0,18.0
2017,F0002,12,80.0,15498.0
2017,F0004,63,4970.0,554938.0
2017,F0008,8,28.0,15082.0
2017,F0011,88,2840.0,475336.0
2017,F0017,17,252.0,152809.0
2017,F0020,82,2206.0,411763.0
2017,F0022,32,353.0,101103.0
2017,F0023,14,112.0,12490.0
2017,F0024,53,1931.0,207084.0
2017,F0026,128,6246.0,1261173.0
2017,F0028,70,2621.0,381752.0
2017,F0030,279,14359.0,3757169.0
2017,F0032,37,612.0,111699.0
2017,F0034,58,3038.0,509770.0
2017,F0038,98,4398.0,446491.0
2017,F0039,48,3226.0,370353.0
2017,F0044,45,4690.0,702198.0
2017,F0047,15,106.0,98061.0
2017,F0050,48,2643.0,457467.0
2017,F0051,13,33.0,26167.0
2017,F0054,14,252.0,158996.0
2017,F0055,59,1207.0,86234.0
2017,F0058,51,5692.0,657428.0
2017,F0059,74,3543.0,496133.0
2017,F0060,12,204.0,69332.0
