Circolo,Regione,Tesserati2017,Tesserati2025,Variazione,Variazione%,Retention%,ScuolaBridge2025,EtaMedia,GareMediae
F0214,CAB,51,40,-11,-21.6,68.1,0,67.4,45.0
F0266,PIE,234,186,-48,-20.5,80.6,0,73.8,74.0
F0345,TOS,46,46,0,0.0,83.0,0,73.8,76.5
F0038,LOM,98,87,-11,-11.2,89.7,0,73.5,54.4
F0248,TOS,37,36,-1,-2.7,87.2,0,65.7,26.8
F0624,EMI,130,117,-13,-10.0,89.0,0,71.3,74.4
F0524,MAR,58,69,11,19.0,95.3,0,70.8,55.5
F0344,PUG,14,19,5,35.7,85.0,0,68.7,17.7
F0112,TOS,59,45,-14,-23.7,81.8,0,73.4,37.7
F0274,FRI,116,104,-12,-10.3,95.7,0,76.0,66.4
F0437,CAB,25,19,-6,-24.0,66.7,0,64.3,50.1
F0444,SIC,77,61,-16,-20.8,96.6,0,74.1,84.2
F0432,VEN,37,29,-8,-21.6,91.3,0,79.4,10.2
F0178,SIC,90,89,-1,-1.1,91.4,0,73.8,110.2
F0411,VEN,83,62,-21,-25.3,88.3,0,77.0,121.1
F0672,LOM,188,51,-137,-72.9,90.0,0,74.0,45.3
F0546,TOS,120,117,-3,-2.5,88.4,0,70.8,40.1
F0734,LAZ,164,101,-63,-38.4,53.5,0,72.7,56.2
F0694,EMI,52,40,-12,-23.1,73.9,0,71.0,28.0
F0202,TOS,52,60,8,15.4,90.6,0,68.1,45.4
F0079,LOM,46,17,-29,-63.0,93.3,0,63.1,26.5
F0213,MAR,31,36,5,16.1,86.8,0,69.8,34.4
F0339,LIG,229,68,-161,-70.3,90.6,0,71.0,40.3
S0217,EMI,11,23,12,109.1,35.3,23,57.3,16.1
F0234,SAR,67,43,-24,-35.8,95.2,0,74.6,37.4
S0503,LOM,51,14,-37,-72.5,36.4,14,64.0,9.8
S0038,LOM,34,15,-19,-55.9,16.7,15,66.3,15.9
F0142,MAR,26,18,-8,-30.8,76.2,0,69.5,22.1
F0719,LOM,212,143,-69,-32.5,75.7,0,72.1,38.1
F0442,UMB,61,68,7,11.5,88.6,0,77.0,57.4
F0503,LOM,170,261,91,53.5,77.0,0,75.7,56.7
S0202,TOS,21,8,-13,-61.9,57.1,8,63.8,33.4
F0674,PIE,74,68,-6,-8.1,85.9,0,69.5,40.6
F0644,LAZ,169,58,-111,-65.7,55.9,0,72.7,71.9
F0635,PIE,232,125,-107,-46.1,50.5,0,74.7,70.9
F0596,TOS,90,55,-35,-38.9,83.0,0,69.4,60.0
S0727,PUG,24,14,-10,-41.7,85.7,14,64.9,15.7
F0174,VEN,132,117,-15,-11.4,93.6,0,73.2,83.1
F0472,MAR,62,38,-24,-38.7,89.7,0,71.7,29.3
F0090,VEN,38,32,-6,-15.8,88.2,0,77.6,27.6
F0453,LOM,66,36,-30,-45.5,84.2,0,81.6,58.4
F0223,VAO,39,29,-10,-25.6,93.3,0,72.5,57.1
F0282,VEN,87,53,-34,-39.1,86.5,0,78.1,74.7
