Anno,FasciaEta,Sesso,Tesserati,GareMediane,PuntiMedi
2017,<18,0,0,,
2017,<18,2,0,,
2017,<18,F,44,1.0454545454545454,2.2045454545454546
2017,<18,M,32,1.03125,4.5
2017,18-30,0,0,,
2017,18-30,2,0,,
2017,18-30,F,147,5.7482993197278915,252.77551020408163
2017,18-30,M,180,11.644444444444444,1563.5333333333333
2017,30-40,0,0,,
2017,30-40,2,0,,
2017,30-40,F,62,35.725806451612904,6003.306451612903
2017,30-40,M,132,39.015151515151516,7254.333333333333
2017,40-50,0,0,,
2017,40-50,2,0,,
2017,40-50,F,91,32.73626373626374,8262.164835164835
2017,40-50,M,152,39.71052631578947,10073.625
2017,50-60,0,0,,
2017,50-60,2,0,,
2017,50-60,F,368,40.75,7786.084239130435
2017,50-60,M,479,38.15240083507307,9006.530271398748
2017,60-70,0,0,,
2017,60-70,2,0,,
2017,60-70,F,1481,46.07629979743417,7016.430790006752
2017,60-70,M,1494,47.91834002677376,9327.573627844713
2017,70-80,0,1,163.0,2455.0
2017,70-80,2,0,,
2017,70-80,F,2952,45.1460027100271,5949.826558265582
2017,70-80,M,3496,48.9133295194508,8375.025171624715
2017,80-90,0,0,,
2017,80-90,2,0,,
2017,80-90,F,2744,41.24708454810496,4137.082725947522
2017,80-90,M,2587,46.0139157325087,6516.372632392733
2017,90+,0,0,,
2017,90+,2,0,,
2017,90+,F,725,35.866206896551724,3188.743448275862
2017,90+,M,625,37.3712,4329.72
2018,<18,0,0,,
2018,<18,2,0,,
2018,<18,F,101,1.504950495049505,8.544554455445544
2018,<18,M,124,1.5403225806451613,16.0
2018,18-30,0,0,,
2018,18-30,2,0,,
2018,18-30,F,348,5.5,323.4683908045977
2018,18-30,M,415,8.51566265060241,1386.4602409638553
2018,30-40,0,0,,
2018,30-40,2,0,,
2018,30-40,F,93,30.193548387096776,7306.666666666667
2018,30-40,M,168,43.01190476190476,9844.279761904761
2018,40-50,0,0,,
2018,40-50,2,0,,
2018,40-50,F,113,36.92920353982301,11187.67256637168
2018,40-50,M,177,42.40112994350282,14403.0395480226
2018,50-60,0,0,,
2018,50-60,2,0,,
2018,50-60,F,439,46.92027334851936,10903.271070615034
2018,50-60,M,513,46.92982456140351,13940.191033138402
2018,60-70,0,0,,
2018,60-70,2,0,,
2018,60-70,F,1668,56.300959232613906,10409.586930455636
2018,60-70,M,1627,57.7719729563614,14268.085433312846
2018,70-80,0,0,,
2018,70-80,2,0,,
2018,70-80,F,3235,59.314374034003094,8855.254714064915
2018,70-80,M,3767,62.919033713830636,12545.453942129016
2018,80-90,0,0,,
2018,80-90,2,0,,
2018,80-90,F,2942,60.79707681849082,6061.56594153637
2018,80-90,M,2653,61.27327553712778,9666.89709762533
2018,90+,0,0,,
2018,90+,2,0,,
2018,90+,F,727,58.053645116918844,4350.126547455296
2018,90+,M,605,52.59504132231405,6430.340495867768
2019,<18,0,0,,
2019,<18,2,0,,
2019,<18,F,270,2.1259259259259258,11.562962962962963
2019,<18,M,302,1.8576158940397351,7.741721854304636
2019,18-30,0,0,,
2019,18-30,2,0,,
2019,18-30,F,208,10.64423076923077,1072.985576923077
2019,18-30,M,328,11.314024390243903,2339.2195121951218
2019,30-40,0,0,,
2019,30-40,2,0,,
2019,30-40,F,77,32.77922077922078,10489.922077922078
2019,30-40,M,151,46.86092715231788,12563.615894039734
2019,40-50,0,0,,
2019,40-50,2,0,,
2019,40-50,F,109,38.79816513761468,12825.238532110092
2019,40-50,M,178,37.98314606741573,14214.286516853932
2019,50-60,0,0,,
2019,50-60,2,0,,
2019,50-60,F,484,46.37190082644628,11351.152892561984
2019,50-60,M,541,46.271719038817004,14311.968576709796
2019,60-70,0,0,,
2019,60-70,2,0,,
2019,60-70,F,1728,55.51273148148148,11085.14525462963
2019,60-70,M,1690,57.662721893491124,15019.042603550295
2019,70-80,0,0,,
2019,70-80,2,0,,
2019,70-80,F,3237,59.18659252394192,9513.342910101946
2019,70-80,M,3738,63.45853397538791,13469.364901016586
2019,80-90,0,0,,
2019,80-90,2,0,,
2019,80-90,F,2814,60.96517412935324,6472.185145700071
2019,80-90,M,2572,60.36586314152411,10131.657465007776
2019,90+,0,0,,
2019,90+,2,0,,
2019,90+,F,620,56.86129032258064,4659.622580645161
2019,90+,M,523,50.107074569789674,6587.451242829828
2020,<18,0,0,,
2020,<18,2,0,,
2020,<18,F,13,16.384615384615383,1030.0
2020,<18,M,19,4.894736842105263,217.89473684210526
2020,18-30,0,0,,
2020,18-30,2,0,,
2020,18-30,F,36,18.63888888888889,6852.611111111111
2020,18-30,M,55,16.763636363636362,14218.836363636363
2020,30-40,0,0,,
2020,30-40,2,0,,
2020,30-40,F,42,18.5,18604.54761904762
2020,30-40,M,106,20.71698113207547,15497.924528301886
2020,40-50,0,0,,
2020,40-50,2,0,,
