Anno,Regione,Tesserati,Gare,Punti
2017,   ,46,804.0,443.0
2017,ABR,137,5369.0,1420883.0
2017,BAS,20,261.0,106412.0
2017,CAB,315,11028.0,1696897.0
2017,CAM,520,12933.0,3862819.0
2017,EMI,1654,67000.0,12463232.0
2017,FIB,1,8.0,0.0
2017,FRI,332,11786.0,1759639.0
2017,LAZ,3218,198263.0,22815646.0
2017,LIG,765,41491.0,6386719.0
2017,LOM,3592,125812.0,22061750.0
2017,MAR,676,32982.0,4362218.0
2017,MOL,25,410.0,23401.0
2017,PIE,1544,50758.0,7966255.0
2017,PUG,483,19447.0,3077732.0
2017,SAR,721,35039.0,2867730.0
2017,SIC,974,60118.0,6332811.0
2017,TOS,1318,42980.0,9550102.0
2017,TRB,97,1373.0,205061.0
2017,TRT,108,1344.0,284270.0
2017,UMB,288,6071.0,1190028.0
2017,VAO,41,2342.0,192879.0
2017,VEN,1177,59539.0,7624322.0
2018,   ,29,345.0,40.0
2018,ABR,160,9365.0,2290209.0
2018,BAS,19,305.0,154912.0
2018,CAB,373,14873.0,2868718.0
2018,CAM,660,25849.0,6316553.0
2018,EMI,1854,117082.0,19677392.0
2018,FIB,1,14.0,0.0
2018,FRI,351,16271.0,2840559.0
2018,LAZ,3427,214396.0,36432734.0
2018,LIG,739,43886.0,10219979.0
2018,LOM,3942,205064.0,35247214.0
2018,MAR,841,40990.0,6579076.0
2018,MOL,30,562.0,65401.0
2018,PIE,1783,94088.0,13541109.0
2018,PUG,474,21111.0,4828041.0
2018,SAR,758,47250.0,4668754.0
2018,SIC,1077,80067.0,10218385.0
2018,TOS,1447,63819.0,15214256.0
2018,TRB,88,4514.0,289357.0
2018,TRT,137,3861.0,424842.0
2018,UMB,300,12643.0,1804196.0
2018,VAO,41,2483.0,335526.0
2018,VEN,1287,86527.0,11905227.0
2019,   ,39,431.0,10585.0
2019,ABR,196,9515.0,2516816.0
2019,BAS,21,412.0,162428.0
2019,CAB,321,14803.0,3035120.0
2019,CAM,637,23787.0,6626052.0
2019,EMI,1923,116298.0,20717436.0
2019,FIB,2,16.0,11.0
2019,FRI,332,15449.0,2968117.0
2019,LAZ,3395,212562.0,38417531.0
2019,LIG,715,43127.0,10931356.0
2019,LOM,3730,202020.0,36885565.0
2019,MAR,705,38977.0,6762311.0
2019,MOL,30,474.0,61059.0
2019,PIE,1766,89230.0,14572654.0
2019,PUG,681,20586.0,5285307.0
2019,SAR,737,45817.0,4943697.0
2019,SIC,1124,79031.0,11001471.0
2019,TOS,1386,63936.0,16311911.0
2019,TRB,88,4080.0,338493.0
2019,TRT,145,3585.0,426505.0
2019,UMB,287,12507.0,1954885.0
2019,VAO,36,1935.0,345158.0
2019,VEN,1288,87128.0,13004166.0
2020,   ,43,688.0,7221.0
2020,ABR,166,3059.0,2411258.0
2020,BAS,23,122.0,162417.0
2020,CAB,230,3509.0,2799740.0
2020,CAM,448,6066.0,6072100.0
2020,EMI,1513,29057.0,20768511.0
2020,FIB,2,5.0,0.0
2020,FRI,277,3069.0,2797724.0
2020,LAZ,2680,49857.0,36091915.0
2020,LIG,596,14991.0,10411626.0
2020,LOM,2974,39137.0,35196016.0
2020,MAR,582,9392.0,6619158.0
2020,MOL,21,144.0,38585.0
2020,PIE,1299,28981.0,13819290.0
2020,PUG,471,5195.0,4969888.0
2020,SAR,625,14906.0,4873872.0
2020,SIC,892,29624.0,10575577.0
2020,TOS,1175,23335.0,15300829.0
2020,TRB,72,694.0,288241.0
2020,TRT,92,571.0,424009.0
2020,UMB,241,2781.0,2022092.0
2020,VAO,40,834.0,355960.0
2020,VEN,1069,24161.0,12540734.0
2021,   ,19,627.0,11920.0
2021,ABR,155,7143.0,2436856.0
2021,BAS,2,2.0,7162.0
2021,CAB,204,9862.0,2480025.0
2021,CAM,343,14678.0,5500695.0
2021,EMI,1178,58184.0,18455324.0
2021,FIB,17,229.0,18589.0
2021,FRI,205,6355.0,2492173.0
2021,LAZ,1930,78282.0,28049589.0
2021,LIG,513,26019.0,9503958.0
2021,LOM,2102,70220.0,30061714.0
2021,MAR,534,24407.0,6056920.0
2021,MOL,7,255.0,32547.0
2021,PIE,946,46936.0,12546196.0
2021,PUG,299,9299.0,3670773.0
2021,SAR,389,22460.0,3744721.0
2021,SIC,698,50219.0,9616854.0
2021,TOS,1004,39481.0,13779013.0
2021,TRB,38,2532.0,275493.0
2021,TRT,102,5038.0,446057.0
2021,UMB,176,2732.0,1577633.0
2021,VAO,36,798.0,317105.0
2021,VEN,758,38151.0,11236279.0
