Regione,Tesserati2017,Tesserati2025,Variazione,Variazione%,Retention%,Circoli2025,TessPerCircolo,EtaMedia
LOM,3592,2380,-1212,-33.7,84.2,71,33.5,71.8
LAZ,3218,2159,-1059,-32.9,80.3,61,35.4,72.5
EMI,1654,1413,-241,-14.6,87.6,37,38.2,68.8
PIE,1544,1139,-405,-26.2,86.1,35,32.5,70.4
TOS,1318,1125,-193,-14.6,86.7,36,31.2,70.1
VEN,1177,930,-247,-21.0,84.7,38,24.5,73.7
SIC,974,813,-161,-16.5,86.5,29,28.0,69.2
SAR,721,573,-148,-20.5,90.8,17,33.7,71.1
MAR,676,570,-106,-15.7,84.4,28,20.4,68.4
LIG,765,514,-251,-32.8,82.3,17,30.2,71.0
PUG,483,470,-13,-2.7,84.3,23,20.4,69.2
CAM,520,384,-136,-26.2,79.9,21,18.3,70.3
CAB,315,281,-34,-10.8,82.0,14,20.1,68.8
FRI,332,244,-88,-26.5,89.5,7,34.9,73.7
ABR,137,194,57,41.6,86.1,8,24.2,71.0
UMB,288,184,-104,-36.1,87.7,7,26.3,73.6
TRT,108,138,30,27.8,81.4,6,23.0,74.7
FIB,1,66,65,6500.0,0.0,2,33.0,42.1
VAO,41,34,-7,-17.1,87.9,2,17.0,71.1
   ,46,27,-19,-41.3,0.0,1,27.0,78.6
BAS,20,20,0,0.0,86.4,1,20.0,78.6
MOL,25,2,-23,-92.0,66.7,1,2.0,73.5
TRB,97,0,-97,-100.0,0.0,0,0.0,
