Anno,TipoTessera,Tesserati,GareMediane,PuntiMedi
2017,Aderente,24,4.375,447.3333333333333
2017,Agonista,3964,78.09409687184662,19806.181130171542
2017,Estero,1,1.0,400.0
2017,Ist.Scolastici,307,1.3257328990228012,27.941368078175895
2017,Ordinario Amatoriale,1181,19.639288738357326,1142.827265029636
2017,Ordinario Sportivo,10806,38.5403479548399,3315.98991301129
2017,Scuola Bridge,1672,21.4366028708134,295.5316985645933
2017,Studente CAS,97,16.257731958762886,447.8144329896907
2018,Aderente,58,7.206896551724138,773.551724137931
2018,Agonista,3415,97.58887262079062,34366.32327964861
2018,Ist.Scolastici,903,1.6068660022148393,14.80952380952381
2018,Non Agonista,585,98.92307692307692,17411.302564102563
2018,Ordinario Amatoriale,1462,30.023939808481533,1727.0697674418604
2018,Ordinario Sportivo,11225,54.832783964365255,4903.893452115813
2018,Scuola Bridge,1977,25.51997976732423,343.1987860394537
2018,Studente CAS,193,13.025906735751295,352.0777202072539
2019,Aderente,70,9.0,1432.2
2019,Agonista,3414,96.38312829525483,36951.21265377856
2019,Ist.Scolastici,845,1.711242603550296,7.5396449704142015
2019,Non Agonista,686,91.6268221574344,16089.763848396502
2019,Ordinario Amatoriale,1510,31.15298013245033,1684.9847682119205
2019,Ordinario Sportivo,10844,54.667004795278494,5230.787347842124
2019,Promozionale,1,2.0,11.0
2019,Scuola Bridge,1981,24.854114083796063,317.4977284199899
2019,Studente CAS,233,11.304721030042918,373.52789699570815
2020,Aderente,17,2.3529411764705883,162.1764705882353
2020,Agonista,3384,29.835401891252957,36142.525413711584
2020,Ist.Scolastici,11,3.0,59.36363636363637
2020,Non Agonista,477,27.454926624737947,17434.63102725367
2020,Ordinario Amatoriale,1215,10.568724279835392,2026.80329218107
2020,Ordinario Sportivo,9215,16.28041237113402,5965.581009224091
2020,Scuola Bridge,1150,10.94,383.57130434782607
2020,Studente CAS,62,9.67741935483871,713.3225806451613
2021,Aderente,96,7.125,1829.5208333333333
2021,Agonista,2301,72.63841807909604,41546.743589743586
2021,Ist.Scolastici,7,1.8571428571428572,18.571428571428573
2021,Non Agonista,188,58.659574468085104,19865.27659574468
2021,Normale,7,2.857142857142857,12436.285714285714
2021,Ordinario Amatoriale,834,15.535971223021583,2644.878896882494
2021,Ordinario Sportivo,7096,40.70419954904171,8456.55087373168
2021,Promozionale,15,12.666666666666666,58.53333333333333
2021,Radiato/Inibito/Sosp,1,1.0,5.0
2021,Scuola Bridge,1042,30.689059500959694,452.0345489443378
2021,Studente CAS,68,15.588235294117647,524.0
2022,Aderente,102,8.029411764705882,2300.6470588235293
2022,Agonista,2383,75.7259756609316,42895.1053294167
2022,Ist.Scolastici,3,1.0,8.0
2022,Non Agonista,318,71.53144654088051,17723.877358490565
2022,Normale,16,6.125,3558.9375
2022,Ordinario Amatoriale,1185,23.863291139240506,2910.55358649789
2022,Ordinario Sportivo,7334,43.71011726206709,8180.42991546223
2022,Scuola Bridge,1156,26.432525951557093,511.0865051903114
2022,Studente CAS,91,11.615384615384615,409.5934065934066
2023,Aderente,63,8.063492063492063,4804.190476190476
2023,Agonista,2562,67.56947697111632,44152.214676034346
2023,Ist.Scolastici,29,1.0,2.2413793103448274
2023,Non Agonista,267,64.3932584269663,20096.464419475655
2023,Normale,7,3.0,6752.714285714285
2023,Ordinario Amatoriale,1397,25.81531853972799,3168.1023622047246
2023,Ordinario Sportivo,7299,42.990820660364435,8018.36936566653
2023,Promozionale,1,1.0,0.0
2023,Scuola Bridge,1366,21.275256222547583,507.9304538799414
2023,Studente CAS,90,10.688888888888888,362.06666666666666
2024,Aderente,79,6.708860759493671,1978.4177215189873
2024,Agonista,2683,69.77450614983228,44418.93626537458
2024,Ist.Scolastici,41,1.2682926829268293,5.341463414634147
2024,Non Agonista,265,60.74716981132075,21839.15849056604
2024,Normale,25,12.36,3095.92
2024,Ordinario Amatoriale,1277,26.55912294440094,3247.3030540328896
2024,Ordinario Sportivo,7363,43.74168137987233,7912.71872877903
2024,Promozionale,8,1.125,32.375
2024,Scuola Bridge,1592,21.149497487437184,462.35804020100505
2024,Studente CAS,128,8.8359375,361.09375
2025,Aderente,47,10.46808510638298,2269.404255319149
2025,Agonista,2544,69.59551886792453,48617.856132075474
2025,CAS Giovanile,1,5.0,77.0
2025,Ist.Scolastici,22,1.6818181818181819,25.454545454545453
2025,M,0,0.0,
2025,Non Agonista,275,62.661818181818184,21439.294545454544
2025,Normale,29,6.655172413793103,11731.310344827587
2025,Ordinario Amatoriale,1416,28.132062146892654,3092.513418079096
2025,Ordinario Sportivo,7239,46.25804669153198,8394.938665561542
2025,Promozionale,11,1.2727272727272727,9.636363636363637
2025,Scuola Bridge,1936,21.90857438016529,464.67561983471074
2025,Studente CAS,140,7.135714285714286,274.35714285714283
