FasciaEta,Sesso,GareMedie,PuntiCampMedi,NumRecord
18-30,F,10.7,1800.0,1003
18-30,M,13.6,2198.0,1397
30-40,F,26.1,6314.0,510
30-40,M,36.2,5492.0,1126
40-50,F,31.8,6733.0,920
40-50,M,32.5,6893.0,1427
50-60,F,37.9,5456.0,4054
50-60,M,37.4,5188.0,4391
60-70,F,45.5,4323.0,14231
60-70,M,46.7,4913.0,13975
70-80,0,163.0,0.0,1
70-80,F,46.4,3410.0,23721
70-80,M,49.2,3860.0,28253
80-90,F,46.4,1568.0,18082
80-90,M,46.5,1923.0,16587
90+,F,43.8,670.0,3304
90+,M,40.2,728.0,2676
<18,F,3.8,34.0,554
<18,M,5.3,139.0,755
