Circolo,Tess_2022,Tess_2025,TrendPct,Attivo,Regione,EtaMedia,GareMedie,RiskScore,LivelioRischio
ANZIO &  NETTUNO BRIDGE CLUB ASD,10.0,2.0,-80.0,True,LAZ,80.0,4.0,10,CRITICO
FRIGIERI CLAUDIO,13.0,1.0,-92.3076923076923,True,LAZ,86.0,1.0,10,CRITICO
STELLIN NELDA,3.0,2.0,-33.33333333333333,True,VEN,84.0,4.0,9,CRITICO
PIACEREBRIDGE,20.0,8.0,-60.0,True,FRI,82.125,10.25,9,CRITICO
C.C.ANIENE ASD,6.0,3.0,-50.0,True,LAZ,75.66666666666667,2.3333333333333335,9,CRITICO
BR.MONFORTE CAMPOBASSO,7.0,2.0,-71.42857142857143,True,MOL,73.5,10.5,8,CRITICO
CIRCOLO VALET DI FIORI FR,18.0,1.0,-94.44444444444444,True,LAZ,81.0,42.0,8,CRITICO
ASD SOCIALTENNIS CLUB,7.0,8.0,14.285714285714285,True,CAM,78.375,6.625,7,CRITICO
BR.FERMO-P.TO S.GIORGIO,14.0,8.0,-42.857142857142854,True,MAR,62.75,7.25,7,CRITICO
BR.G.CABOTO - GAETA,16.0,17.0,6.25,True,LAZ,77.05882352941177,3.764705882352941,6,ALTO
BRIDGE BRINDISI,21.0,17.0,-19.047619047619047,True,PUG,73.6470588235294,3.3529411764705883,6,ALTO
BRIDGE TIME ASD,29.0,18.0,-37.93103448275862,True,LIG,74.44444444444444,19.38888888888889,6,ALTO
SS LAZIO BRIDGE,13.0,3.0,-76.92307692307693,True,LAZ,46.666666666666664,62.333333333333336,6,ALTO
RESEGONE BRIDGE LECCO,3.0,1.0,-66.66666666666666,True,LOM,60.0,49.0,6,ALTO
ASD TENNIS CLUB PADOVA,5.0,6.0,20.0,True,LOM,75.83333333333333,19.333333333333332,6,ALTO
"ICS ""S. PERTINI"" - MARTINSICURO",2.0,2.0,0.0,True,ABR,11.0,3.0,5,ALTO
VERSILIA BRIDGE AND GAMES,8.0,13.0,62.5,True,TOS,76.58333333333333,19.692307692307693,5,ALTO
PROVINCIA GRANDA,11.0,8.0,-27.27272727272727,True,PIE,71.125,22.5,5,ALTO
MINCIO BRIDGE,30.0,20.0,-33.33333333333333,True,LOM,75.45,31.8,5,ALTO
ITALTUSCOLO BRIDGE A.S.D.,83.0,30.0,-63.85542168674698,True,LAZ,79.33333333333333,59.1,5,ALTO
FANFULLA BRIDGE,10.0,8.0,-20.0,True,LOM,73.5,46.0,5,ALTO
ASSOCIATO ALLEGRA,5.0,5.0,0.0,True,PIE,66.4,6.8,5,ALTO
ESTE BRIDGE,145.0,32.0,-77.93103448275862,True,VEN,77.5625,27.5625,5,ALTO
CLUB 90 LAVENO,8.0,7.0,-12.5,True,LOM,74.14285714285714,24.142857142857142,5,ALTO
ARONA BRIDGE CLUB 50,6.0,21.0,250.0,True,PIE,77.19047619047619,7.9523809523809526,5,ALTO
CIRCOLO BELLUNO BRIDGE,15.0,13.0,-13.333333333333334,True,VEN,68.23076923076923,9.0,5,ALTO
BCM BR.CLUB MERATE,21.0,17.0,-19.047619047619047,True,LOM,64.41176470588235,8.235294117647058,5,ALTO
BRIDGE VITERBO,30.0,20.0,-33.33333333333333,True,LAZ,74.0,13.05,5,ALTO
BRIDGE REGISOLE,7.0,9.0,28.57142857142857,True,LOM,70.11111111111111,11.88888888888889,5,ALTO
VITTORIO VENETO,10.0,21.0,110.00000000000001,True,VEN,76.9047619047619,7.523809523809524,5,ALTO
