Circolo,Tess_2022,Tess_2025,TrendPct,Attivo,Regione,EtaMedia,GareMedie,RiskScore,LivelioRischio
A. VOLTA,59.0,59.0,0.0,True,LOM,81.9322033898305,32.76271186440678,2,BASSO
A.BERGAMASCA BR.LORETO,75.0,80.0,6.666666666666667,True,LOM,70.0,51.9375,0,BASSO
A.BR.NINO MARCON VE,62.0,88.0,41.935483870967744,True,VEN,76.375,94.6590909090909,2,BASSO
A.S.D. SPORTING CLUB MILANO  2,53.0,48.0,-9.433962264150944,True,LOM,83.0625,62.895833333333336,2,BASSO
ACCADEMIA DEL BRIDGE,114.0,58.0,-49.122807017543856,True,LAZ,72.74137931034483,71.94827586206897,3,MEDIO
AGORA' ASD BRIDGE CLUB,179.0,124.0,-30.726256983240223,True,VEN,73.04838709677419,78.58064516129032,3,MEDIO
ALBA BRIDGE CLUB,322.0,552.0,71.42857142857143,True,LAZ,72.22826086956522,35.81884057971015,1,BASSO
ALESSANDRIA BRIDGE,72.0,74.0,2.7777777777777777,True,PIE,67.4054054054054,37.83783783783784,0,BASSO
ALPI APUANE BRIDGE,18.0,35.0,94.44444444444444,True,LIG,72.37142857142857,28.114285714285714,1,BASSO
AMICI BRIDGE ABRUZZO,10.0,14.0,40.0,True,ABR,72.5,47.07142857142857,3,MEDIO
AMICI BRIDGE OLGIATA,9.0,35.0,288.88888888888886,True,LAZ,78.65714285714286,41.34285714285714,2,BASSO
ANGOLO VERDE PG,23.0,32.0,39.130434782608695,True,UMB,69.0,44.21875,0,BASSO
ANKON BRIDGE ANCONA,83.0,76.0,-8.433734939759036,True,MAR,74.48684210526316,42.78947368421053,1,BASSO
ANTICO TIRO A VOLO - BR. A.S.D,56.0,95.0,69.64285714285714,True,LAZ,76.45263157894736,44.473684210526315,2,BASSO
ANZIO &  NETTUNO BRIDGE CLUB ASD,10.0,2.0,-80.0,True,LAZ,80.0,4.0,10,CRITICO
APD C.LO CANOTTIERI ROMA,5.0,25.0,400.0,True,LAZ,69.96,27.52,1,BASSO
APSD C.MAGISTRATI C.C.,15.0,43.0,186.66666666666666,True,LAZ,69.04651162790698,19.767441860465116,1,BASSO
ARBAREE BRIDGE,29.0,24.0,-17.24137931034483,True,SAR,69.95833333333333,46.375,2,BASSO
ARCA BRIDGE ASD,182.0,224.0,23.076923076923077,True,LOM,73.28125,33.464285714285715,1,BASSO
ARONA BRIDGE CLUB 50,6.0,21.0,250.0,True,PIE,77.19047619047619,7.9523809523809526,5,ALTO
ASD C.LO BR. PESCARA RIVIERA,57.0,65.0,14.035087719298245,True,ABR,73.78461538461538,43.86153846153846,1,BASSO
ASD C.LO TENNIS PALERMO,29.0,26.0,-10.344827586206897,True,SIC,73.46153846153847,54.15384615384615,3,MEDIO
ASD CANOTTIERI TICINO PAVIA,46.0,57.0,23.91304347826087,True,LOM,67.94736842105263,24.07017543859649,0,BASSO
ASD CIRCOLO BOCCIOFILA LIDO,85.0,41.0,-51.76470588235295,True,LIG,67.65853658536585,70.39024390243902,3,MEDIO
