Categoria,Sesso,Retention,NumGiocatori
NC,M,45.64326524664486,9127
NC,F,49.38372910679512,9752
3P,M,53.24391348320246,2905
3P,F,52.95952977266756,2448
1P,M,74.45841305145174,1539
1P,F,74.39519308184155,1010
4Q,M,1.444043321299639,1004
4Q,F,1.5384615384615385,1353
1Q,M,41.74911552033455,1048
1Q,F,42.10384159468194,665
3F,M,41.27252717082437,4278
3F,F,44.15577618086582,4632
4P,M,1.6917293233082706,1046
4P,F,0.9581881533101044,1220
1F,M,56.42932933948643,1283
1F,F,52.405372595987934,776
4C,M,1.3402061855670102,884
4C,F,1.1986301369863013,1067
3Q,M,32.041875439095435,2485
3Q,F,34.31897142185791,2446
2P,M,54.04246528476254,1664
2P,F,55.000912961568005,1235
2F,M,42.00389763466274,1494
2F,F,38.485690446772864,1186
1C,M,38.501527262914195,1191
1C,F,39.266995939475976,712
3C,M,32.72448040293134,2368
3C,F,33.615417932936644,2173
4F,M,6.03932584269663,875
4F,F,5.769230769230769,1292
2C,M,38.31055574001117,1459
2C,F,36.522669187643814,1136
LM,M,81.04207326322177,60
LM,F,90.67705211455211,40
2Q,M,34.26341476896503,1304
2Q,F,35.13361106833517,1080
GM,M,90.4402689888371,75
GM,F,93.72416589093788,51
MS,M,83.63210842294336,91
MS,F,87.49197497210992,45
HQ,M,73.54029148201015,174
HQ,F,68.08924165727078,129
HK,M,61.368459439111604,93
HK,F,62.27686289130566,84
HA,M,88.1191509108176,71
HA,F,90.27497432584642,67
HJ,M,78.01633713663709,364
HJ,F,79.83457282954616,301
