Circolo,RetentionMedia,HaCorsi,NumCorsisti,FasciaCorsisti
1° IC Giovanni VERGA - Sr,0.0,False,0.0,0
A. VOLTA,57.805409084597436,False,0.0,0
A.B.A./T.C.A. MILANO,70.40171983876584,False,0.0,0
A.BERGAMASCA BR.LORETO,76.60563568376068,True,64.0,31-100
A.BR.ASCOLI PICENO-C.LO CITT.,78.62902797685406,True,2.0,1-10
A.BR.NINO MARCON VE,87.52907972876241,True,52.0,31-100
A.S.D. SPORTING CLUB MILANO  2,84.82675621276289,False,0.0,0
A.S.GIOCO BRIDGE ETRURIA,59.384662956091525,True,3.0,1-10
A.SP.BLUE BRIDGE RM,78.92846695501369,True,2.0,1-10
ABBADIA S.SALVATORE,64.14718614718615,True,3.0,1-10
ACCADEMIA DEL BRIDGE,57.33853226016802,True,47.0,31-100
ACSD LA MONGOLFIERA,44.16666666666667,False,0.0,0
AGORA' ASD BRIDGE CLUB,77.82743726655679,True,47.0,31-100
ALBA BRIDGE CLUB,64.44634074109923,True,213.0,100+
ALESSANDRIA BRIDGE,82.05636062842865,True,34.0,31-100
ALPI APUANE BRIDGE,82.05221861471861,True,1.0,1-10
AMICI BRIDGE ABRUZZO,81.8939393939394,False,0.0,0
AMICI BRIDGE OLGIATA,69.08963585434174,True,6.0,1-10
AMICI DEL BRIDGE FIRENZE,62.45270970384829,True,26.0,11-30
ANGOLO VERDE PG,83.47913896986788,True,16.0,11-30
ANKON BRIDGE ANCONA,79.77261906478775,True,38.0,31-100
ANTICO TIRO A VOLO - BR. A.S.D,73.62594890124743,True,1.0,1-10
ANZIO &  NETTUNO BRIDGE CLUB ASD,48.14407814407815,True,19.0,11-30
APD C.LO CANOTTIERI ROMA,47.038690476190474,True,9.0,1-10
APD FONTE ROMAEUR,70.62176546487402,False,0.0,0
APD TENNIS CLUB PRESIDENT,80.82222222222222,True,10.0,1-10
APSD C.MAGISTRATI C.C.,63.68905982132419,True,28.0,11-30
ARBAREE BRIDGE,74.42177982076782,True,10.0,1-10
ARCA BRIDGE ASD,78.48127851467028,True,156.0,100+
ARCADIA BENBRIDGE SSD A R.L.,71.67003661790858,True,195.0,100+
ARONA BRIDGE CLUB 50,68.73941163003664,True,3.0,1-10
ASD C.LO BR. PESCARA RIVIERA,79.78281859907989,True,61.0,31-100
ASD C.LO TENNIS PALERMO,81.30529592145584,False,0.0,0
ASD CANOTTIERI TICINO PAVIA,81.89418421218589,True,38.0,31-100
ASD CIRCOLO BOCCIOFILA LIDO,73.24939503971562,True,85.0,31-100
