MmbCode,Cluster,AnniPresenza,GareMedie,EtaUltima,AnniDaChurn
BBC001 ,1,3,2.0,82.0,6
BBD007 ,4,3,1.6666666666666667,45.0,5
BBD009 ,4,1,4.0,18.0,7
BBD010 ,1,2,17.0,63.0,6
BBG001 ,3,5,175.8,91.0,4
BBG003 ,0,6,87.83333333333333,98.0,3
BBG004 ,1,2,6.5,81.0,5
BBL006 ,1,3,11.0,72.0,5
BBL011 ,3,6,208.83333333333334,74.0,3
BBN015 ,1,1,1.0,60.0,1
BBN019 ,1,3,2.6666666666666665,87.0,6
BBN023 ,0,5,30.4,60.0,4
BBN025 ,1,2,11.5,77.0,7
BBN028 ,4,1,1.0,18.0,8
BBN029 ,4,1,2.0,20.0,7
BBR003 ,0,4,2.5,68.0,1
BBR005 ,1,1,2.0,59.0,3
BBR008 ,0,4,75.25,87.0,5
BBR011 ,3,6,170.0,83.0,3
BBR013 ,0,5,11.8,79.0,4
BBR015 ,1,1,1.0,89.0,7
BBR035 ,1,1,16.0,90.0,8
BBS002 ,1,1,1.0,64.0,4
BBT005 ,1,1,3.0,86.0,7
BBT008 ,0,7,19.285714285714285,76.0,1
BBZ002 ,1,1,21.0,80.0,8
BBZ008 ,1,3,5.333333333333333,71.0,4
BCC002 ,1,5,22.0,77.0,4
BCC003 ,0,8,99.375,67.0,1
BCC007 ,3,1,159.0,90.0,8
BCC014 ,0,6,16.666666666666668,79.0,3
BCC016 ,1,1,2.0,85.0,6
BCC059 ,1,4,26.5,90.0,5
BCD003 ,1,2,4.5,71.0,6
BCD040 ,1,3,14.666666666666666,63.0,6
BCD043 ,4,1,3.0,18.0,6
BCG008 ,1,3,13.0,88.0,6
BCG027 ,1,1,1.0,75.0,1
BCG028 ,1,1,30.0,101.0,6
BCG031 ,1,4,11.5,75.0,5
BCG034 ,4,1,1.0,24.0,6
BCL012 ,1,2,6.5,99.0,7
BCL026 ,1,4,22.25,78.0,5
BCL027 ,1,5,15.6,84.0,4
BCL030 ,1,2,2.0,65.0,7
BCL051 ,1,4,17.75,78.0,5
BCL055 ,1,2,5.5,72.0,6
BCL074 ,1,1,3.0,76.0,8
BCL078 ,1,2,2.0,72.0,6
BCL089 ,1,4,20.0,95.0,5
BCL094 ,1,2,19.0,79.0,7
BCL105 ,4,1,1.0,18.0,7
BCL107 ,0,4,8.25,72.0,2
BCL108 ,4,1,2.0,16.0,6
BCL113 ,4,1,6.0,42.0,1
BCM007 ,1,1,1.0,68.0,6
BCM013 ,0,5,20.2,84.0,2
BCM019 ,1,1,2.0,88.0,8
BCN001 ,3,2,98.0,80.0,7
BCN017 ,0,6,11.0,80.0,3
BCN019 ,1,1,6.0,79.0,8
BCN027 ,1,4,20.75,92.0,5
BCN028 ,1,2,1.5,74.0,4
BCN031 ,1,1,3.0,89.0,1
BCN039 ,1,4,32.0,87.0,5
BCN040 ,1,4,15.25,99.0,5
BCN048 ,1,3,48.0,78.0,3
BCN055 ,1,1,5.0,76.0,8
BCN078 ,0,4,39.25,83.0,4
BCN079 ,0,7,38.57142857142857,90.0,2
BCP003 ,1,1,1.0,92.0,8
BCP006 ,1,2,14.0,97.0,1
BCP010 ,0,6,12.833333333333334,84.0,2
BCR004 ,0,4,49.25,79.0,5
BCR020 ,1,1,11.0,88.0,7
BCR022 ,1,3,24.666666666666668,90.0,5
BCR034 ,1,3,2.6666666666666665,62.0,6
BCR063 ,1,1,1.0,80.0,7
BCR070 ,1,1,25.0,77.0,6
