MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BBG001 ,2017,2021,5,91.0,M,175.8,879.0,132.78252897124682,0.0,0.0,11211.8,56059.0,8.0,12.0,12.0,3P,2P,False,False,PIE,C.PORTA SUSA A.S.D.,Ordinario Sportivo,True,4,4.0,0.0,Nord-Ovest,95.0,3
BBG003 ,2017,2022,6,98.0,M,87.83333333333333,527.0,47.423271361923845,0.0,0.0,4318.0,25908.0,8.0,6.0,8.0,3P,3Q,False,False,TOS,BRIDGE CLUB FORTE DEI MARMI,Ordinario Amatoriale,True,3,-2.0,0.0,Centro,101.0,0
BBL011 ,2017,2022,6,74.0,F,208.83333333333334,1253.0,118.9208420196673,166.66666666666666,1000.0,38258.0,229548.0,8.0,16.0,16.0,3P,1P,False,False,LAZ,ROMA TOP BRIDGE,Ordinario Sportivo,True,3,8.0,0.004356368357082802,Centro,77.0,3
BBN023 ,2017,2021,5,60.0,M,30.4,152.0,14.345731072343439,390.0,1950.0,2194.8,10974.0,0.0,8.0,8.0,NC,3P,False,True,LAZ,LATINA PROGETTO BRIDGE,Ordinario Sportivo,True,4,8.0,0.1776765375854214,Centro,64.0,0
BBR003 ,2019,2024,4,68.0,M,2.5,10.0,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,False,False,PIE,BR.CL.NUOVA CASALE A.S.D.,Ordinario Amatoriale,True,1,0.0,0.0,Nord-Ovest,69.0,0
BBR008 ,2017,2020,4,87.0,F,75.25,301.0,35.33058165385903,0.0,0.0,12592.25,50369.0,8.0,8.0,8.0,3P,3P,False,False,LAZ,BRIDGE CASTELLI ROMANI,Ordinario Sportivo,True,5,0.0,0.0,Centro,92.0,0
BBR011 ,2017,2022,6,83.0,M,170.0,1020.0,91.13506460194122,133.33333333333334,800.0,20368.666666666668,122212.0,8.0,15.0,15.0,3P,1C,False,False,LAZ,ROMA TOP BRIDGE,Ordinario Sportivo,True,3,7.0,0.006545948467020693,Centro,86.0,3
BBR013 ,2017,2021,5,79.0,M,11.8,59.0,10.61602562167217,24.0,120.0,1090.4,5452.0,3.0,5.0,5.0,4C,3F,False,False,CAB,C.BRIDGE N.DITTO  RC,Ordinario Sportivo,True,4,2.0,0.022006235099944985,Sud,83.0,0
BBT008 ,2017,2024,7,76.0,F,19.285714285714285,135.0,20.981851568393463,5447.142857142857,38130.0,7044.0,49308.0,9.0,10.0,11.0,2F,2Q,False,True,TOS,ASS.BR.ARGENTARIO,Ordinario Sportivo,True,1,1.0,0.7732868239063863,Centro,77.0,0
BCC003 ,2017,2024,8,67.0,M,99.375,795.0,47.43397667133911,0.0,0.0,9588.0,76704.0,8.0,12.0,12.0,3P,2P,False,False,VEN,A.BR.NINO MARCON VE,Ordinario Sportivo,True,1,4.0,0.0,Nord-Est,68.0,0
BCC007 ,2017,2017,1,90.0,M,159.0,159.0,0.0,0.0,0.0,4221.0,4221.0,8.0,8.0,8.0,3P,3P,False,False,LOM,CIRCOLO BRIDGE 2000,Ordinario Sportivo,True,8,0.0,0.0,Nord-Ovest,98.0,3
BCC014 ,2017,2022,6,79.0,M,16.666666666666668,100.0,15.590595455808181,58.333333333333336,350.0,2820.1666666666665,16921.0,7.0,8.0,8.0,3C,3P,False,False,TOS,"C.LO DEL BRIDGE FI ""CAMILLO PABIS TICCI""",Ordinario Sportivo,True,3,1.0,0.02068313438127881,Centro,82.0,0
BCL107 ,2019,2023,4,72.0,F,8.25,33.0,10.594810050208544,5.0,20.0,50.75,203.0,0.0,0.0,0.0,NC,NC,True,False,LAZ,NUOVA ARCADIA BRIDGE,Scuola Bridge,True,2,0.0,0.09803921568627451,Centro,74.0,0
BCM013 ,2017,2023,5,84.0,M,20.2,101.0,19.175505208468433,0.0,0.0,939.6,4698.0,5.0,5.0,5.0,3F,3F,False,False,PIE,C.PORTA SUSA A.S.D.,Ordinario Sportivo,True,2,0.0,0.0,Nord-Ovest,86.0,0
BCN001 ,2017,2018,2,80.0,F,98.0,196.0,48.08326112068523,2552.5,5105.0,16835.5,33671.0,13.0,12.0,13.0,1F,2P,False,True,VEN,ESTE BRIDGE,Agonista,True,7,-1.0,0.1516096459966738,Nord-Est,87.0,3
BCN017 ,2017,2022,6,80.0,M,11.0,66.0,7.797435475847172,33.333333333333336,200.0,2060.6666666666665,12364.0,6.0,6.0,6.0,3Q,3Q,False,False,LOM,BRIDGE EXCELSIOR,Ordinario Sportivo,True,3,0.0,0.016174686615446826,Nord-Ovest,83.0,0
BCN078 ,2018,2021,4,83.0,F,39.25,157.0,45.52929459882578,2300.0,9200.0,4814.25,19257.0,8.0,9.0,9.0,3P,2F,False,False,ABR,ASD C.LO BR. PESCARA RIVIERA,Ordinario Sportivo,True,4,1.0,0.47772354346245716,Centro,87.0,0
BCN079 ,2017,2023,7,90.0,M,38.57142857142857,270.0,46.80404947885437,34.285714285714285,240.0,2417.1428571428573,16920.0,0.0,8.0,8.0,NC,3P,False,False,EMI,SPORT CLUB  DIL. RAPID,Ordinario Amatoriale,True,2,8.0,0.01418355889131848,Nord-Est,92.0,0
BCP010 ,2017,2023,6,84.0,F,12.833333333333334,77.0,11.47896627169305,0.0,0.0,341.0,2046.0,3.0,0.0,5.0,4C,NC,False,False,LAZ,ASS.POLISPORTIVA DIL.PALOCCO,Ordinario Amatoriale,True,2,-3.0,0.0,Centro,86.0,0
BCR004 ,2017,2020,4,79.0,F,49.25,197.0,27.548442182211804,1822.0,7288.0,8062.0,32248.0,9.0,12.0,12.0,2F,2P,False,True,LIG,TENNIS CLUB GENOVA 1893 ASD,Non Agonista,True,5,3.0,0.2259915036125151,Nord-Ovest,84.0,0
BCR073 ,2017,2024,6,80.0,M,75.33333333333333,452.0,46.91552692517336,2637.3333333333335,15824.0,38258.833333333336,229553.0,16.0,16.0,16.0,1P,1P,False,True,LAZ,VALET DI FIORI,Ordinario Sportivo,True,1,0.0,0.06893367138015456,Centro,81.0,3
BCR085 ,2017,2023,7,86.0,M,15.571428571428571,109.0,11.544943234408485,68.57142857142857,480.0,5209.714285714285,36468.0,6.0,9.0,9.0,3Q,2F,False,False,MAR,RECANATI BRIDGE,Ordinario Sportivo,True,2,3.0,0.01316186350050728,Centro,88.0,0
BCR090 ,2017,2021,5,78.0,F,40.0,200.0,31.670175244226233,0.0,0.0,2311.4,11557.0,4.0,5.0,7.0,4P,3F,False,False,LOM,BRIDGE TIME ASD,Ordinario Sportivo,True,4,1.0,0.0,Nord-Ovest,82.0,0
BCT005 ,2017,2020,4,74.0,M,9.0,36.0,5.715476066494082,7352.5,29410.0,13442.25,53769.0,10.0,13.0,13.0,2Q,1F,False,True,UMB,BRIDGE FOLIGNO,Agonista,True,5,3.0,0.5469592709689418,Centro,79.0,0
BCT017 ,2017,2021,5,91.0,F,102.8,514.0,75.27748667430389,40.0,200.0,5535.6,27678.0,8.0,8.0,9.0,3P,3P,False,False,LAZ,BRIDGE EUR  S.S.D. A R.L.,Ordinario Sportivo,True,4,0.0,0.007225694569890531,Centro,95.0,0
BCT033 ,2017,2020,4,90.0,F,56.75,227.0,40.30198506277327,100.0,400.0,2051.0,8204.0,6.0,7.0,7.0,3Q,3C,False,False,LOM,BRIDGE CUSANO MILANINO,Ordinario Sportivo,True,5,1.0,0.04875076173065204,Nord-Ovest,95.0,0
BCV007 ,2017,2024,5,79.0,F,6.2,31.0,4.764451699828638,0.0,0.0,551.0,2755.0,2.0,0.0,2.0,4Q,NC,False,False,LAZ,FANTONI VACATIONS S.S.D. A R.L,Ordinario Sportivo,True,1,-2.0,0.0,Centro,80.0,0
BDC002 ,2017,2024,7,70.0,M,18.142857142857142,127.0,12.375090187261552,20789.14285714286,145524.0,34394.857142857145,240764.0,13.0,17.0,17.0,1F,HJ,False,True,LAZ,NOI BRIDGE ASD,Agonista,True,1,4.0,0.6044234004111894,Centro,71.0,0
BDL013 ,2017,2024,4,87.0,F,22.75,91.0,11.354147553500733,0.0,0.0,588.75,2355.0,2.0,0.0,5.0,4Q,NC,False,False,LAZ,FRIGIERI CLAUDIO,Aderente,True,1,-2.0,0.0,Centro,88.0,0
BDN007 ,2017,2022,6,72.0,M,96.5,579.0,37.84573952243502,2296.6666666666665,13780.0,31202.666666666668,187216.0,13.0,16.0,16.0,1F,1P,False,True,LOM,ASD CANOTTIERI TICINO PAVIA,Non Agonista,True,3,3.0,0.07360442694840746,Nord-Ovest,75.0,3
BDR019 ,2017,2021,5,91.0,M,50.2,251.0,32.391356871857035,0.0,0.0,4413.6,22068.0,6.0,6.0,8.0,3Q,3Q,False,False,PIE,BRIDGE TORINO,Ordinario Amatoriale,True,4,0.0,0.0,Nord-Ovest,95.0,0
BDS005 ,2018,2021,4,74.0,F,74.5,298.0,75.24847728248947,1284.25,5137.0,7068.5,28274.0,2.0,11.0,11.0,4Q,2C,False,True,LOM,BRIDGE CLUB DESIO,Ordinario Sportivo,True,4,9.0,0.18167992926613616,Nord-Ovest,78.0,0
BDT009 ,2017,2022,5,86.0,M,43.8,219.0,35.03855019831728,0.0,0.0,3203.4,16017.0,7.0,6.0,8.0,3C,3Q,False,False,SIC,BRIDGE MESSINA,Ordinario Amatoriale,True,3,-1.0,0.0,Isole,89.0,0
BFL003 ,2018,2023,3,75.0,M,5.333333333333333,16.0,5.131601439446884,1010.0,3030.0,1498.0,4494.0,3.0,5.0,6.0,4C,3F,False,True,LOM,BRIDGE INSTITUTE 2000,Ordinario Sportivo,True,2,2.0,0.6740823136818688,Nord-Ovest,77.0,0
BFL023 ,2017,2024,8,86.0,F,62.625,501.0,23.548961153914444,475.0,3800.0,4008.375,32067.0,5.0,10.0,10.0,3F,2Q,False,True,LAZ,OLGIATA GOLF CLUB A.D.,Ordinario Sportivo,True,1,5.0,0.11849819134339529,Centro,87.0,0
BFN019 ,2017,2020,4,91.0,M,45.75,183.0,26.474830814693917,0.0,0.0,2829.75,11319.0,5.0,6.0,8.0,3F,3Q,False,False,VEN,C.LO CITTADINO VERONA BRIDGE,Ordinario Sportivo,True,5,1.0,0.0,Nord-Est,96.0,0
BFR027 ,2022,2024,3,78.0,M,5.666666666666667,17.0,2.0816659994661326,0.0,0.0,5.0,15.0,0.0,0.0,0.0,NC,NC,True,False,UMB,PERUGIA BRIDGE,Ordinario Amatoriale,True,1,0.0,0.0,Centro,79.0,0
BFS009 ,2017,2024,8,88.0,F,8.25,66.0,7.7781745930520225,0.0,0.0,268.125,2145.0,0.0,0.0,0.0,NC,NC,False,False,EMI,BRIDGE BOLOGNA RASTIGNANO,Ordinario Sportivo,True,1,0.0,0.0,Nord-Est,89.0,0
BFS012 ,2021,2024,4,85.0,F,25.75,103.0,20.838665984174707,0.0,0.0,492.5,1970.0,0.0,0.0,0.0,NC,NC,False,False,LAZ,NOI BRIDGE ASD,Ordinario Sportivo,True,1,0.0,0.0,Centro,86.0,0
BFZ001 ,2017,2022,5,89.0,F,55.8,279.0,31.89357302028106,79.2,396.0,1063.0,5315.0,2.0,6.0,6.0,4Q,3Q,False,False,SAR,BRIDGE SELARGIUS,Ordinario Sportivo,True,3,4.0,0.0744920993227991,Isole,92.0,0
BGD018 ,2017,2024,7,86.0,M,28.857142857142858,202.0,28.6323160748397,228.57142857142858,1600.0,1880.0,13160.0,0.0,7.0,7.0,NC,3C,False,False,TRT,ASS.BR.BOLZANO,Ordinario Sportivo,True,1,7.0,0.12157130917103563,Nord-Est,87.0,0
BGG019 ,2017,2024,6,68.0,M,14.5,87.0,10.251829105091442,96.66666666666667,580.0,142.83333333333334,857.0,0.0,0.0,5.0,NC,NC,True,False,EMI,FERRARA  BRIDGE E BURRACO,Ordinario Amatoriale,True,1,0.0,0.675990675990676,Nord-Est,69.0,0
BGL005 ,2018,2020,3,90.0,F,109.0,327.0,64.08587988004847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,False,False,TOS,VIAREGGIO VERSILIA BR. A.S.D.,Ordinario Amatoriale,True,5,0.0,0.0,Centro,95.0,0
BGN088 ,2017,2023,6,80.0,M,21.5,129.0,15.056560032092323,383.3333333333333,2300.0,1293.1666666666667,7759.0,5.0,5.0,6.0,3F,3F,False,True,LIG,TENNIS CLUB GENOVA 1893 ASD,Ordinario Sportivo,True,2,0.0,0.2963917525773196,Nord-Ovest,82.0,0
BGP003 ,2018,2023,5,65.0,M,27.6,138.0,16.2265215003093,0.0,0.0,1691.0,8455.0,0.0,7.0,7.0,NC,3C,True,False,PUG,BRIDGE CLUB DELFINI JONICI,Ordinario Sportivo,True,2,7.0,0.0,Sud,67.0,0
