MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BBC001 ,2017,2019,3,82.0,M,2.0,6.0,1.7320508075688772,26.666666666666668,80.0,187.66666666666666,563.0,0.0,0.0,1.0,NC,NC,False,False,PUG,BRIDGE BARI,Ordinario Sportivo,True,6,0.0,0.14184397163120568,Sud,88.0,1
BBD010 ,2018,2019,2,63.0,M,17.0,34.0,5.656854249492381,89.0,178.0,187.0,374.0,0.0,5.0,5.0,NC,3F,True,False,FRI,C.DEL BRIDGE TRIESTE,Scuola Bridge,True,6,5.0,0.4746666666666667,Nord-Est,69.0,1
BBG004 ,2019,2020,2,81.0,M,6.5,13.0,0.7071067811865476,0.0,0.0,355.0,710.0,5.0,0.0,5.0,3F,NC,False,False,LOM,BRIDGE VOGHERA,Ordinario Amatoriale,True,5,-5.0,0.0,Nord-Ovest,86.0,1
BBL006 ,2018,2020,3,72.0,F,11.0,33.0,6.557438524302,48.0,144.0,179.33333333333334,538.0,0.0,0.0,0.0,NC,NC,True,False,EMI,BRIDGE FORLI',Scuola Bridge,True,5,0.0,0.26716141001855287,Nord-Est,77.0,1
BBN015 ,2024,2024,1,60.0,M,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,NC,NC,True,False,PUG,BRIDGE MARTINA,Scuola Bridge,True,1,0.0,0.0,Sud,61.0,1
BBN019 ,2017,2019,3,87.0,M,2.6666666666666665,8.0,1.5275252316519465,0.0,0.0,470.6666666666667,1412.0,5.0,5.0,5.0,3F,3F,False,False,EMI,BRIDGE RICCIONE,Ordinario Sportivo,True,6,0.0,0.0,Nord-Est,93.0,1
BBN025 ,2017,2018,2,77.0,F,11.5,23.0,6.363961030678928,0.0,0.0,138.5,277.0,0.0,1.0,1.0,NC,4F,True,False,SIC,M. AMMENDOLIA ASD,Ordinario Sportivo,True,7,1.0,0.0,Isole,84.0,1
BBR005 ,2022,2022,1,59.0,F,2.0,2.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,NC,NC,True,False,LOM,OPEN BEACH MILANO SSD A RL,Scuola Bridge,True,3,0.0,0.0,Nord-Ovest,62.0,1
BBR015 ,2018,2018,1,89.0,M,1.0,1.0,0.0,100.0,100.0,412.0,412.0,1.0,1.0,1.0,4F,4F,False,False,LOM,UNICREDIT GROUP CIRCOLO MILANO,Ordinario Sportivo,True,7,0.0,0.24213075060532688,Nord-Ovest,96.0,1
BBR035 ,2017,2017,1,90.0,F,16.0,16.0,0.0,0.0,0.0,1504.0,1504.0,6.0,6.0,6.0,3Q,3Q,False,False,SIC,BRIDGE CLUB SIRACUSA,Ordinario Sportivo,True,8,0.0,0.0,Isole,98.0,1
BBS002 ,2021,2021,1,64.0,M,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,False,False,LAZ,UNIVERSITA' DEL BRIDGE,Ordinario Amatoriale,True,4,0.0,0.0,Centro,68.0,1
BBT005 ,2018,2018,1,86.0,F,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,False,False,LAZ,BRIDGE 3A S.S.D. A R.L.,Ordinario Amatoriale,True,7,0.0,0.0,Centro,93.0,1
BBZ002 ,2017,2017,1,80.0,M,21.0,21.0,0.0,0.0,0.0,21425.0,21425.0,15.0,15.0,15.0,1C,1C,False,True,SIC,ASS.BR.PALERMO,Agonista,True,8,0.0,0.0,Isole,88.0,1
BBZ008 ,2018,2021,3,71.0,F,5.333333333333333,16.0,6.658328118479393,0.0,0.0,293.6666666666667,881.0,0.0,0.0,0.0,NC,NC,True,False,TOS,LIVORNO STANZE CIVICHE,Scuola Bridge,True,4,0.0,0.0,Centro,75.0,1
