Fattore,Soglia,ChurnSotto,ChurnSopra,Differenza
Gare Medie,<= 5,81.64513151822797,46.180602006688964,35.464529511539
Gare Medie,<= 10,77.76854007316261,42.37608182533438,35.39245824782824
Gare Medie,<= 15,75.0,39.497014655328385,35.502985344671615
Gare Medie,<= 20,72.97313540477191,36.60578386605784,36.367351538714075
Gare Medie,<= 30,68.63786709431693,33.548792530747825,35.089074563569106
Gare Medie,<= 50,63.2143148284014,29.333739899374905,33.880574929026494
Anni Presenza,<= 1,81.69976786174877,47.549271636675236,34.15049622507354
Anni Presenza,<= 2,78.91786290665081,42.140675948449875,36.77718695820094
Anni Presenza,<= 3,77.76731674512442,36.174802761341226,41.59251398378319
Anni Presenza,<= 5,77.4516177426614,17.52725961971704,59.924358122944355
Progressione,<= 0,65.78897247881154,35.83391140620355,29.955061072607997
Progressione,<= 1,63.88708208663978,33.61553784860558,30.271544238034203
Progressione,<= 2,62.32306074577368,31.773205591330296,30.54985515444339
