MmbCode,Cluster,GareMedie,AnniPresenza,Eta,Sesso,AncoraAttivo
BBC001 ,Occasionale,2.0,3,82.0,M,False
BBC002 ,Regolare Fedele,76.22222222222223,9,85.0,M,True
BBD001 ,Sociale,15.555555555555555,9,85.0,M,True
BBD007 ,Occasionale,1.6666666666666667,3,45.0,M,False
BBD009 ,Occasionale,4.0,1,18.0,M,False
BBD010 ,Sociale,17.0,2,63.0,M,False
BBG001 ,Regolare Fedele,175.8,5,91.0,M,False
BBG003 ,Regolare Fedele,87.83333333333333,6,98.0,M,False
BBG004 ,Occasionale,6.5,2,81.0,M,False
BBG005 ,Occasionale,1.0,1,,F,False
BBG006 ,Sociale,24.5,2,72.0,M,True
BBG007 ,Nuovo Entusiasta,49.0,1,79.0,M,True
BBL006 ,Sociale,11.0,3,72.0,F,False
BBL007 ,Sociale,20.0,4,68.0,M,True
BBL011 ,Regolare Fedele,208.83333333333334,6,74.0,F,False
BBL013 ,Regolare Fedele,38.77777777777778,9,85.0,F,True
BBL022 ,Sociale,14.555555555555555,9,78.0,F,True
BBL032 ,Sociale,13.333333333333334,3,78.0,M,True
BBL037 ,Regolare Fedele,76.5,4,71.0,F,True
BBL038 ,Sociale,19.11111111111111,9,61.0,M,True
BBN006 ,Sociale,16.25,8,60.0,M,True
BBN015 ,Occasionale,1.0,1,60.0,M,False
BBN017 ,Occasionale,4.333333333333333,3,67.0,M,True
BBN019 ,Occasionale,2.6666666666666665,3,87.0,M,False
BBN023 ,Regolare Fedele,30.4,5,60.0,M,False
BBN025 ,Sociale,11.5,2,77.0,F,False
BBN028 ,Occasionale,1.0,1,18.0,M,False
BBN029 ,Occasionale,2.0,1,20.0,F,False
BBN033 ,Sociale,24.0,2,62.0,M,True
BBP005 ,Sociale,12.125,8,69.0,M,True
BBR001 ,Regolare Fedele,45.55555555555556,9,71.0,M,True
BBR003 ,Occasionale,2.5,4,68.0,M,False
BBR004 ,Regolare Fedele,65.88888888888889,9,71.0,M,True
BBR005 ,Occasionale,2.0,1,59.0,F,False
BBR007 ,Occasionale,6.0,1,58.0,F,True
BBR008 ,Regolare Fedele,75.25,4,87.0,F,False
BBR011 ,Regolare Fedele,170.0,6,83.0,M,False
BBR013 ,Sociale,11.8,5,79.0,M,False
BBR015 ,Occasionale,1.0,1,89.0,M,False
BBR017 ,Occasionale,2.5,2,88.0,M,True
BBR022 ,Sociale,25.428571428571427,7,75.0,M,True
BBR035 ,Sociale,16.0,1,90.0,F,False
BBS002 ,Occasionale,1.0,1,64.0,M,False
BBS005 ,Regolare Fedele,64.77777777777777,9,82.0,F,True
BBT003 ,Regolare Fedele,84.0,9,81.0,M,True
BBT005 ,Occasionale,3.0,1,86.0,F,False
BBT008 ,Sociale,19.285714285714285,7,76.0,F,False
BBZ002 ,Sociale,21.0,1,80.0,M,False
BBZ008 ,Occasionale,5.333333333333333,3,71.0,F,False
BCC002 ,Sociale,22.0,5,77.0,M,False
BCC003 ,Regolare Fedele,99.375,8,67.0,M,False
BCC007 ,Nuovo Entusiasta,159.0,1,90.0,M,False
BCC013 ,Sociale,11.75,4,77.0,F,True
BCC014 ,Sociale,16.666666666666668,6,79.0,M,False
BCC015 ,Sociale,29.0,6,58.0,F,True
BCC016 ,Occasionale,2.0,1,85.0,M,False
BCC025 ,Super Agonista,144.88888888888889,9,75.0,F,True
BCC035 ,Regolare Fedele,42.22222222222222,9,60.0,M,True
BCC049 ,Sociale,19.6,5,51.0,M,True
BCC059 ,Sociale,26.5,4,90.0,M,False
BCC062 ,Sociale,21.285714285714285,7,62.0,M,True
BCC071 ,Sociale,20.88888888888889,9,54.0,M,True
BCC078 ,Sociale,16.333333333333332,9,71.0,M,True
BCC079 ,Super Agonista,132.66666666666666,9,69.0,M,True
BCC080 ,Occasionale,3.0,4,71.0,M,True
BCC083 ,Occasionale,2.0,4,79.0,M,True
BCC088 ,Occasionale,7.333333333333333,3,68.0,M,True
BCC089 ,Nuovo Entusiasta,74.0,2,71.0,M,True
BCD003 ,Occasionale,4.5,2,71.0,F,False
BCD009 ,Sociale,22.444444444444443,9,85.0,M,True
BCD034 ,Regolare Fedele,46.4,5,65.0,M,True
BCD040 ,Sociale,14.666666666666666,3,63.0,M,False
BCD041 ,Regolare Fedele,154.33333333333334,9,69.0,M,True
BCD043 ,Occasionale,3.0,1,18.0,M,False
BCD045 ,Occasionale,9.333333333333334,3,71.0,M,True
BCF001 ,Occasionale,9.875,8,69.0,M,True
BCG002 ,Occasionale,9.714285714285714,7,71.0,M,True
BCG008 ,Sociale,13.0,3,88.0,M,False
BCG027 ,Occasionale,1.0,1,75.0,M,False
BCG028 ,Regolare,30.0,1,101.0,M,False
BCG029 ,Sociale,12.5,2,78.0,M,True
BCG031 ,Sociale,11.5,4,75.0,M,False
BCG034 ,Occasionale,1.0,1,24.0,M,False
BCK001 ,Agonista Attivo,63.888888888888886,9,75.0,F,True
BCL006 ,Agonista Attivo,52.888888888888886,9,72.0,M,True
BCL009 ,Sociale,27.333333333333332,9,66.0,F,True
BCL012 ,Occasionale,6.5,2,99.0,M,False
BCL013 ,Sociale,12.333333333333334,3,69.0,M,True
BCL020 ,Regolare Fedele,40.75,4,63.0,M,True
BCL026 ,Sociale,22.25,4,78.0,M,False
BCL027 ,Sociale,15.6,5,84.0,M,False
BCL028 ,Occasionale,2.3333333333333335,3,78.0,F,True
BCL030 ,Occasionale,2.0,2,65.0,F,False
BCL037 ,Occasionale,8.222222222222221,9,86.0,F,True
BCL044 ,Occasionale,6.714285714285714,7,72.0,F,True
BCL051 ,Sociale,17.75,4,78.0,F,False
BCL055 ,Occasionale,5.5,2,72.0,F,False
BCL066 ,Regolare Fedele,111.88888888888889,9,87.0,F,True
BCL068 ,Regolare Fedele,80.875,8,79.0,F,True
BCL074 ,Occasionale,3.0,1,76.0,F,False
BCL078 ,Occasionale,2.0,2,72.0,F,False
BCL087 ,Sociale,13.333333333333334,6,77.0,F,True
BCL088 ,Sociale,28.88888888888889,9,82.0,F,True
BCL089 ,Sociale,20.0,4,95.0,M,False
BCL094 ,Sociale,19.0,2,79.0,M,False
BCL097 ,Sociale,10.375,8,73.0,F,True
BCL099 ,Sociale,26.5,8,86.0,F,True
BCL105 ,Occasionale,1.0,1,18.0,F,False
BCL107 ,Occasionale,8.25,4,72.0,F,False
BCL108 ,Occasionale,2.0,1,16.0,M,False
BCL111 ,Regolare,56.333333333333336,3,65.0,F,True
BCL112 ,Occasionale,2.5,2,59.0,F,True
BCL113 ,Occasionale,6.0,1,42.0,M,False
BCL114 ,Sociale,11.5,2,69.0,M,True
BCL115 ,Occasionale,6.0,1,68.0,F,True
BCM003 ,Regolare Fedele,32.44444444444444,9,87.0,F,True
BCM007 ,Occasionale,1.0,1,68.0,F,False
BCM008 ,Regolare Fedele,38.2,5,82.0,M,True
BCM013 ,Sociale,20.2,5,84.0,M,False
BCM018 ,Regolare Fedele,71.88888888888889,9,71.0,M,True
BCM019 ,Occasionale,2.0,1,88.0,F,False
BCN001 ,Nuovo Entusiasta,98.0,2,80.0,F,False
BCN017 ,Sociale,11.0,6,80.0,M,False
BCN019 ,Occasionale,6.0,1,79.0,F,False
BCN022 ,Super Agonista,118.55555555555556,9,75.0,M,True
BCN023 ,Super Agonista,91.0,9,73.0,F,True
BCN027 ,Sociale,20.75,4,92.0,F,False
BCN028 ,Occasionale,1.5,2,74.0,F,False
BCN031 ,Occasionale,3.0,1,89.0,M,False
BCN032 ,Occasionale,6.0,1,76.0,M,True
BCN039 ,Regolare Fedele,32.0,4,87.0,F,False
BCN040 ,Sociale,15.25,4,99.0,F,False
BCN041 ,Sociale,10.444444444444445,9,81.0,M,True
BCN045 ,Regolare Fedele,37.77777777777778,9,74.0,F,True
BCN048 ,Regolare,48.0,3,78.0,F,False
BCN055 ,Occasionale,5.0,1,76.0,F,False
BCN067 ,Super Agonista,133.77777777777777,9,69.0,F,True
BCN074 ,Sociale,25.444444444444443,9,79.0,F,True
BCN078 ,Regolare Fedele,39.25,4,83.0,F,False
BCN079 ,Regolare Fedele,38.57142857142857,7,90.0,M,False
BCN087 ,Regolare,43.666666666666664,3,79.0,F,True
BCN100 ,Regolare Fedele,37.25,8,64.0,M,True
BCN132 ,Regolare Fedele,65.14285714285714,7,88.0,F,True
BCN151 ,Occasionale,8.0,1,84.0,F,True
BCN152 ,Regolare Fedele,36.55555555555556,9,70.0,M,True
BCP001 ,Regolare Fedele,40.333333333333336,9,84.0,M,True
BCP003 ,Occasionale,1.0,1,92.0,M,False
BCP005 ,Regolare Fedele,51.888888888888886,9,87.0,M,True
BCP006 ,Sociale,14.0,2,97.0,M,False
BCP010 ,Sociale,12.833333333333334,6,84.0,F,False
BCP012 ,Occasionale,2.0,3,62.0,M,True
BCR004 ,Regolare Fedele,49.25,4,79.0,F,False
BCR008 ,Sociale,24.444444444444443,9,78.0,M,True
BCR020 ,Sociale,11.0,1,88.0,F,False
BCR022 ,Sociale,24.666666666666668,3,90.0,M,False
BCR023 ,Regolare Fedele,30.25,8,89.0,M,True
BCR034 ,Occasionale,2.6666666666666665,3,62.0,M,False
BCR063 ,Occasionale,1.0,1,80.0,M,False
BCR064 ,Sociale,11.0,6,79.0,F,True
BCR070 ,Sociale,25.0,1,77.0,M,False
BCR072 ,Sociale,21.5,4,83.0,F,False
BCR073 ,Agonista Attivo,75.33333333333333,6,80.0,M,False
BCR085 ,Sociale,15.571428571428571,7,86.0,M,False
BCR087 ,Occasionale,5.0,2,60.0,M,False
BCR088 ,Regolare Fedele,46.888888888888886,9,82.0,M,True
BCR089 ,Regolare Fedele,42.2,5,73.0,M,True
BCR090 ,Regolare Fedele,40.0,5,78.0,F,False
BCR097 ,Regolare Fedele,154.55555555555554,9,77.0,M,True
BCR099 ,Sociale,26.0,9,69.0,M,True
BCR101 ,Sociale,14.75,4,87.0,F,False
BCR102 ,Occasionale,9.0,1,35.0,F,False
BCR109 ,Sociale,27.75,4,26.0,F,True
BCR110 ,Occasionale,9.571428571428571,7,63.0,M,True
BCR112 ,Sociale,23.5,2,77.0,M,False
BCR117 ,Occasionale,1.0,1,54.0,F,False
BCR122 ,Occasionale,5.0,1,81.0,M,True
BCS010 ,Occasionale,2.0,1,80.0,F,False
BCS011 ,Occasionale,2.0,3,71.0,F,False
BCS012 ,Occasionale,1.0,1,70.0,F,True
BCT001 ,Occasionale,3.0,1,85.0,M,False
BCT002 ,Occasionale,5.0,1,84.0,F,False
BCT005 ,Occasionale,9.0,4,74.0,M,False
BCT008 ,Sociale,11.0,9,64.0,M,True
BCT009 ,Occasionale,7.0,4,94.0,M,False
BCT015 ,Sociale,26.75,8,70.0,M,True
BCT017 ,Regolare Fedele,102.8,5,91.0,F,False
BCT018 ,Regolare Fedele,129.22222222222223,9,82.0,F,True
BCT021 ,Nuovo Entusiasta,51.0,1,66.0,M,False
BCT024 ,Sociale,26.0,2,92.0,F,False
BCT027 ,Occasionale,7.428571428571429,7,80.0,M,True
BCT033 ,Regolare Fedele,56.75,4,90.0,F,False
BCT038 ,Super Agonista,93.77777777777777,9,78.0,F,True
BCT040 ,Occasionale,1.0,1,88.0,F,False
BCT057 ,Regolare Fedele,56.0,7,70.0,F,True
BCT060 ,Regolare,32.333333333333336,3,75.0,F,False
BCT063 ,Occasionale,1.0,1,53.0,M,True
BCV007 ,Occasionale,6.2,5,79.0,F,False
BCV011 ,Occasionale,2.0,1,64.0,M,False
BCV013 ,Occasionale,3.0,1,20.0,F,False
BCZ003 ,Sociale,17.666666666666668,3,65.0,M,False
BCZ019 ,Occasionale,4.333333333333333,3,91.0,F,False
BCZ030 ,Occasionale,1.0,1,72.0,F,False
BCZ031 ,Sociale,26.0,3,71.0,F,False
BCZ036 ,Regolare,47.333333333333336,3,33.0,M,True
BDC002 ,Sociale,18.142857142857142,7,70.0,M,False
BDC009 ,Regolare,30.333333333333332,3,95.0,F,False
BDC025 ,Sociale,12.5,4,78.0,M,False
BDC026 ,Occasionale,3.75,4,66.0,F,False
BDD009 ,Regolare,88.66666666666667,3,98.0,M,False
BDD015 ,Occasionale,1.0,1,20.0,F,False
BDG004 ,Regolare Fedele,83.75,4,66.0,M,True
BDL004 ,Occasionale,4.333333333333333,3,79.0,M,False
BDL011 ,Regolare Fedele,42.2,5,85.0,F,False
BDL012 ,Occasionale,3.0,2,79.0,M,False
BDL013 ,Sociale,22.75,4,87.0,F,False
BDL018 ,Nuovo Entusiasta,64.5,2,75.0,M,True
BDL020 ,Agonista Attivo,77.44444444444444,9,72.0,F,True
BDL025 ,Occasionale,8.5,2,77.0,M,False
