TipoArea,Anno,Tesserati,GareMedie,CampMedi,NumCircoli
Città Metropolitana,2017,8551,51.55432113203134,526.6118582621915,198
Città Metropolitana,2018,9106,64.09081924006149,2386.3594333406545,207
Città Metropolitana,2019,9085,63.04678040726472,2845.7931755641166,207
Città Metropolitana,2020,7428,21.420166935918147,3403.7894453419494,183
Città Metropolitana,2021,5234,47.211310661062285,4464.550439434467,180
Città Metropolitana,2022,5750,49.219130434782606,4478.585565217391,175
Città Metropolitana,2023,5941,46.50092577007238,4680.247433092072,170
Città Metropolitana,2024,6106,46.73452341958729,4759.80985915493,177
Città Metropolitana,2025,6123,48.70325004082966,4967.553813490119,173
Provincia,2017,9501,36.45058414903694,479.3914324807915,286
Provincia,2018,10712,48.70743091859597,2256.135828976848,306
Provincia,2019,10499,48.85474807124488,2734.2367844556625,314
Provincia,2020,8103,16.175367147969887,3450.618659755646,248
Provincia,2021,6421,41.55193895031927,4224.852359445569,235
Provincia,2022,6838,44.10251535536707,4364.980696109974,231
Provincia,2023,7140,41.243837535014,4607.640616246498,220
Provincia,2024,7355,42.09775662814412,4709.756900067981,221
Provincia,2025,7538,41.77832316264261,4819.387237994163,221
