MmbCode,Associazione,Regione,Eta,AnniCorso,GareTotali,Convertito
BBD010 ,C.DEL BRIDGE TRIESTE - ASD,FRI,63.0,2,34.0,False
BBL006 ,BRIDGE FOLIGNO,EMI,72.0,3,33.0,False
BBL007 ,JUNIOR BRIDGE CLUB PERUGIA,UMB,68.0,3,61.0,True
BBN025 ,M. AMMENDOLIA ASD,SIC,77.0,1,16.0,True
BBR005 ,OPEN BEACH MILANO SSD A RL,LOM,59.0,1,2.0,False
BBZ008 ,QUADRI LIVORNO,TOS,71.0,3,16.0,False
BCC015 ,AMICI DEL BRIDGE FIRENZE,TOS,58.0,2,19.0,True
BCC016 ,BRIDGE CHIAVARI,SAR,85.0,1,2.0,False
BCD003 ,ASS.RIMINI BRIDGE,EMI,71.0,2,9.0,False
BCD034 ,MONTECATINI TERME BRIDGE,TOS,65.0,1,8.0,True
BCD040 ,BRIDGE INSTITUTE 2000,LOM,63.0,1,13.0,True
BCD041 ,ARCA BRIDGE ASD,LOM,69.0,1,92.0,True
BCG002 ,FERRARA  BRIDGE E BURRACO,EMI,71.0,3,13.0,True
BCL026 ,BRIDGE PISTOIA,TOS,78.0,3,87.0,True
BCL074 ,LATINA PROGETTO BRIDGE,LAZ,76.0,1,3.0,False
BCL089 ,BRIDGE EUR  S.S.D. A R.L.,LAZ,95.0,2,59.0,True
BCL099 ,BRIDGE CLUB DELFINI JONICI,PUG,86.0,1,26.0,True
BCL107 ,ARCADIA BENBRIDGE SSD A R.L.,LAZ,72.0,4,33.0,False
BCM007 ,BRIDGE VITERBO,LAZ,68.0,1,1.0,False
BCN028 ,ASD C.LO BR. PESCARA RIVIERA,ABR,74.0,2,3.0,False
BCR099 ,BRIDGE CLUB PRATO,TOS,69.0,3,110.0,True
BCR101 ,BR.ASS.COMOCANTUHELIOS,LOM,87.0,3,55.0,True
BCR102 ,IDEA BRIDGE TORINO,PIE,35.0,1,9.0,False
BCR110 ,BRIDGE CHIAVARI,SAR,63.0,5,49.0,True
BCR112 ,LIBURNA BRIDGE,LIG,77.0,2,47.0,False
BCR117 ,BRIDGE PISTOIA,TOS,54.0,1,1.0,False
BCS010 ,CIRCOLO EREMITANI,VEN,80.0,1,2.0,False
BCT060 ,ARCADIA BENBRIDGE SSD A R.L.,LAZ,75.0,1,37.0,True
BCV011 ,IDEA BRIDGE TORINO,PIE,64.0,1,2.0,False
BCZ030 ,ARCA BRIDGE ASD,LOM,72.0,1,1.0,False
BCZ031 ,BRIDGE ICHNOS,SAR,71.0,2,54.0,True
BDC025 ,NUOVO BRIDGE INSIEME,LAZ,78.0,3,48.0,True
BDC026 ,BRIDGE CHIAVARI,SAR,66.0,4,15.0,False
BDL040 ,LIBURNA BRIDGE,LIG,65.0,3,48.0,True
BDR008 ,BRIDGE VARESE,LOM,60.0,4,184.0,True
BDR034 ,CIRCOLO BRIDGE CATANIA,LAZ,60.0,2,164.0,True
BDT015 ,BRIDGE CUSANO MILANINO,LOM,76.0,1,8.0,True
BFR027 ,PERUGIA BRIDGE,UMB,78.0,2,9.0,True
BGD026 ,ARCA BRIDGE ASD,LOM,33.0,2,75.0,True
