Circolo,GiocatoriTotali,GareMedie,AnniAttivo,Retention,Giocatori
1° IC Giovanni VERGA - Sr,31,1.4838709677419355,2,0.0,31
A. VOLTA,287,23.0989010989011,9,20.557491289198605,287
A.B.A./T.C.A. MILANO,127,48.809895833333336,6,0.0,127
A.B.S.GIORGIO SANNIO,26,44.1,6,0.0,26
A.BERGAMASCA BR.LORETO,195,43.28062678062678,9,41.02564102564102,195
A.BR.ASCOLI PICENO-C.LO CITT.,34,35.38297872340426,7,0.0,34
A.BR.CIRCOLO 1871 CATANZARO,52,29.233201581027668,7,0.0,52
A.BR.NINO MARCON VE,151,102.93426573426574,9,58.27814569536424,151
A.BRIDGE CIRCOLO 1871,34,39.85454545454545,2,73.52941176470588,34
A.S.D. MES AMIS,22,46.0,1,100.0,22
A.S.D. SPORTING CLUB MILANO  2,105,55.444036697247704,9,45.714285714285715,105
A.S.D.ALESSANDRIA BRIDGE,74,37.83783783783784,1,100.0,74
A.S.GIOCO BRIDGE ETRURIA,30,28.24,8,0.0,30
A.SP.BLUE BRIDGE RM,65,27.516129032258064,4,0.0,65
ABBADIA S.SALVATORE,24,5.745762711864407,6,0.0,24
ABP SOCIALE 1806,69,53.31884057971015,1,100.0,69
ACCADEMIA DEL BRIDGE,414,67.06377079482439,9,14.009661835748794,414
AGORA' ASD BRIDGE CLUB,171,52.76923076923077,7,0.0,171
ALESSANDRIA BRIDGE A.S.D.,161,39.13700787401575,8,0.0,161
ALPI APUANE,26,44.43421052631579,6,0.0,26
ALPI APUANE CASTELLO DI SAN GIORGIO,59,28.008695652173913,3,59.32203389830508,59
AMICI BRIDGE ABRUZZO,33,48.05223880597015,9,42.42424242424242,33
AMICI BRIDGE OLGIATA,61,23.23936170212766,9,57.377049180327866,61
AMICI DEL BRIDGE BARI,81,19.271604938271604,1,100.0,81
AMICI DEL BRIDGE FIRENZE,118,47.7987987987988,4,0.0,118
AMICI DEL BRIDGE RI,48,19.032432432432433,9,75.0,48
ANGOLO VERDE PG,69,33.22142857142857,9,46.3768115942029,69
ANKON BRIDGE,100,67.65116279069767,4,0.0,100
ANKON BRIDGE – RIVIERA DEL CONERO,144,55.072319201995015,5,52.77777777777778,144
ANTICO TIRO A VOLO - BR. A.S.D,174,38.55905511811024,9,54.59770114942529,174
ANZIO &  NETTUNO BRIDGE CLUB ASD,56,14.976744186046512,4,3.571428571428571,56
APD C.LO CANOTTIERI ROMA,37,20.258064516129032,9,67.56756756756756,37
APD FONTE ROMAEUR,161,69.28358208955224,5,0.0,161
APD TENNIS CLUB PRESIDENT,50,53.46783625730994,6,0.0,50
APSD C.MAGISTRATI C.C.,112,22.382899628252787,9,38.392857142857146,112
