MmbCode,Eta,GareMedie,AnniPresenza,EngagementScore,RischioChurn,Regione
CRL822 ,63.0,6.0,2,5.8882317507255895,CRITICO,LOM
CRD038 ,83.0,6.0,2,5.8882317507255895,CRITICO,LAZ
MLT106 ,68.0,6.0,2,5.8882317507255895,CRITICO,LAZ
FRS167 ,78.0,6.0,2,5.8882317507255895,CRITICO,PUG
BRL995 ,60.0,6.0,2,5.8882317507255895,CRITICO,LOM
FNZ003 ,79.0,6.5,2,5.915954766989759,CRITICO,TOS
TRT185 ,47.0,6.5,2,5.915954766989759,CRITICO,LAZ
BTR026 ,79.0,7.0,2,5.9436777832539285,CRITICO,FRI
BNN257 ,86.0,7.0,2,5.9436777832539285,CRITICO,LAZ
GNR217 ,73.0,7.0,2,5.9436777832539285,CRITICO,LAZ
LNC157 ,58.0,7.0,2,5.9436777832539285,CRITICO,PUG
CRR734 ,74.0,7.0,2,5.9436777832539285,CRITICO,PIE
LNM009 ,79.0,7.5,2,5.971400799518099,CRITICO,LOM
PCL171 ,74.0,7.5,2,5.971400799518099,CRITICO,SIC
SBR059 ,63.0,8.0,2,5.999123815782268,CRITICO,CAB
TRL454 ,69.0,8.0,2,5.999123815782268,CRITICO,PIE
RBR082 ,73.0,8.0,2,5.999123815782268,CRITICO,PIE
MJR005 ,62.0,8.0,2,5.999123815782268,CRITICO,LOM
PSG023 ,70.0,8.5,2,6.026846832046438,CRITICO,LOM
NVC005 ,65.0,9.5,2,6.082292864574777,CRITICO,LOM
MSN379 ,72.0,9.5,2,6.082292864574777,CRITICO,LOM
LSZ023 ,66.0,9.5,2,6.082292864574777,CRITICO,LOM
SLP026 ,73.0,9.5,2,6.082292864574777,CRITICO,ABR
LBN146 ,68.0,9.5,2,6.082292864574777,CRITICO,MAR
SSS004 ,86.0,9.5,2,6.082292864574777,CRITICO,LOM
VNT095 ,70.0,10.0,2,6.110015880838946,CRITICO,LOM
JRN009 ,56.0,10.5,2,6.137738897103116,CRITICO,LOM
FRN825 ,70.0,11.0,2,6.165461913367285,CRITICO,MAR
VNN220 ,69.0,11.0,2,6.165461913367285,CRITICO,EMI
PCC110 ,77.0,11.0,2,6.165461913367285,CRITICO,PIE
BRN962 ,66.0,11.0,2,6.165461913367285,CRITICO,LOM
LMN153 ,73.0,11.5,2,6.193184929631455,CRITICO,TOS
PNP048 ,71.0,11.5,2,6.193184929631455,CRITICO,PUG
ZNR080 ,73.0,12.0,2,6.2209079458956245,CRITICO,TOS
PDN068 ,73.0,12.0,2,6.2209079458956245,CRITICO,SAR
CLL059 ,74.0,12.0,2,6.2209079458956245,CRITICO,UMB
BSN125 ,77.0,12.0,2,6.2209079458956245,CRITICO,LAZ
CMN053 ,74.0,12.0,2,6.2209079458956245,CRITICO,SAR
RND063 ,78.0,13.0,2,6.2763539784239635,CRITICO,LAZ
BLL402 ,79.0,13.0,2,6.2763539784239635,CRITICO,PUG
MNR526 ,71.0,13.0,2,6.2763539784239635,CRITICO,SAR
PRN638 ,88.0,13.0,2,6.2763539784239635,CRITICO,LAZ
MBL007 ,76.0,13.0,2,6.2763539784239635,CRITICO,TOS
FVL002 ,73.0,13.5,2,6.304076994688133,CRITICO,VEN
STL253 ,13.0,13.5,2,6.304076994688133,CRITICO,MAR
