Regione,PersiCovid,EtaMedia,GareMedie
LOM,1243,80.38374899436846,102.20032180209171
LAZ,1116,80.80286738351255,150.71236559139786
PIE,463,81.16198704103672,114.1792656587473
EMI,438,79.22602739726027,121.92922374429224
VEN,356,82.19718309859155,139.66011235955057
TOS,296,78.22972972972973,87.85472972972973
LIG,209,78.94258373205741,123.16746411483254
SIC,205,80.0439024390244,150.70243902439023
SAR,171,79.3391812865497,162.6140350877193
CAM,158,79.81410256410257,83.5379746835443
MAR,152,80.41447368421052,147.28947368421052
PUG,118,76.27966101694915,94.51694915254237
UMB,91,79.87912087912088,65.48351648351648
FRI,86,79.46511627906976,68.18604651162791
CAB,74,80.08108108108108,79.24324324324324
ABR,40,77.05,82.95
TRB,39,82.41025641025641,85.02564102564102
TRT,38,83.23684210526316,39.473684210526315
MOL,17,79.0,52.05882352941177
BAS,5,84.2,37.2
VAO,5,84.6,140.4
FIB,1,100.0,40.0
   ,1,76.0,7.0
