Regione,NumQuasiAgganciati,GareMedie,EtaMedia
LAZ,390,4.856410256410256,65.31794871794872
LOM,331,5.628398791540786,68.2296072507553
PIE,163,5.950920245398773,68.02453987730061
TOS,154,5.7272727272727275,69.00649350649351
EMI,142,5.971830985915493,67.51408450704226
VEN,73,6.616438356164384,70.63013698630137
LIG,71,6.183098591549296,69.38028169014085
SIC,61,6.786885245901639,66.11475409836065
PUG,52,5.9423076923076925,69.32692307692308
CAM,50,5.76,62.96
SAR,50,6.72,66.8
MAR,45,5.177777777777778,68.53333333333333
UMB,40,5.75,68.875
CAB,39,5.0256410256410255,71.8974358974359
FRI,25,4.6,69.08
ABR,15,6.666666666666667,64.86666666666666
TRT,12,5.916666666666667,61.5
   ,12,9.833333333333334,71.83333333333333
VAO,4,3.75,69.75
TRB,3,2.6666666666666665,74.33333333333333
BAS,2,4.5,54.0
MOL,1,1.0,71.0
