Regione,NumRecuperabili,ScoreMedio,EtaMedia,RischioSaluteMedio,AltaPriorita
LAZ,3393,31.388857118489103,78.76950459804212,64.43881442742644,323
LOM,3332,30.17859202814302,76.97944377267231,63.703553438463445,250
PIE,1770,25.535660654060045,64.0328611898017,49.11293049991894,96
EMI,1481,31.364175196411516,71.37578288100208,55.27154103050553,148
TOS,1117,30.64300456173081,74.9873188405797,59.825714558301925,119
VEN,926,31.84300035310407,82.97621621621622,71.39589227342574,60
SIC,890,30.93291837186398,67.9910011248594,52.5278460956396,84
MAR,764,27.65675222360516,61.639627659574465,43.25137028402091,55
LIG,650,33.74743675455507,80.41230769230769,66.9976714182017,74
SAR,612,30.083262100366632,70.36988543371523,55.81514580288613,44
CAM,553,29.825335692523538,66.21033210332104,48.641676639747004,58
PUG,539,29.01289916200957,61.868274582560296,43.895866610629845,55
CAB,297,30.232321139442995,74.18243243243244,57.32881043539427,38
   ,264,35.35880669853467,78.04280155642023,61.261994338181516,48
UMB,230,31.352193488872473,80.72608695652174,67.4429595215276,21
FRI,208,30.658047681703728,83.89855072463769,73.48072877867212,16
ABR,159,31.150278396343865,73.18867924528301,54.7732938199444,16
TRT,119,36.24734430262513,82.16806722689076,61.65762609722271,19
TRB,49,26.04492088540086,88.89795918367346,93.3924484843185,0
MOL,26,35.021418236558944,83.38461538461539,73.04972905523272,5
VAO,24,28.542314700676656,76.79166666666667,62.43004207372402,1
FIB,18,26.764278411605503,57.705882352941174,22.02365812314574,1
BAS,12,34.19853770891189,82.58333333333333,60.48358419932166,1
