MmbCode,TipoOrigine
NBL003 ,CorsoAdulti
GZN008 ,CorsoAdulti
DMN239 ,CorsoAdulti
MSG072 ,CorsoAdulti
GDM011 ,CorsoAdulti
LNL202 ,CorsoAdulti
RBL086 ,CorsoAdulti
FDL047 ,Studente
CPD030 ,CorsoAdulti
GVZ021 ,CorsoAdulti
RST177 ,CorsoAdulti
LPR080 ,CorsoAdulti
GRV048 ,CorsoAdulti
LVL083 ,CorsoAdulti
MTC007 ,CorsoAdulti
MRR106 ,CorsoAdulti
MRR818 ,CorsoAdulti
LVC064 ,CorsoAdulti
GTR050 ,CorsoAdulti
PDZ002 ,CorsoAdulti
CSG076 ,CorsoAdulti
PNT029 ,CorsoAdulti
TVC017 ,CorsoAdulti
CRS031 ,CorsoAdulti
FRN157 ,CorsoAdulti
DSR118 ,CorsoAdulti
MSM031 ,CorsoAdulti
GML008 ,CorsoAdulti
CSD115 ,CorsoAdulti
PNT083 ,CorsoAdulti
VTR012 ,CorsoAdulti
MNS157 ,CorsoAdulti
ZPR002 ,CorsoAdulti
FCT002 ,CorsoAdulti
MLN273 ,CorsoAdulti
STR174 ,CorsoAdulti
RCL148 ,CorsoAdulti
GNZ003 ,CorsoAdulti
MCL032 ,CorsoAdulti
MDR011 ,CorsoAdulti
NBT003 ,CorsoAdulti
CFC006 ,CorsoAdulti
DNL263 ,CorsoAdulti
CST032 ,CorsoAdulti
BND005 ,CorsoAdulti
CRP114 ,CorsoAdulti
SCN039 ,CorsoAdulti
SLD100 ,CorsoAdulti
CHL001 ,CorsoAdulti
TGL005 ,CorsoAdulti
CTZ031 ,CorsoAdulti
ZDL006 ,CorsoAdulti
CSM047 ,CorsoAdulti
GLR143 ,CorsoAdulti
MNL119 ,CorsoAdulti
BRD082 ,CorsoAdulti
FZR015 ,CorsoAdulti
RFD001 ,CorsoAdulti
RSM005 ,CorsoAdulti
CRR108 ,CorsoAdulti
SCL372 ,CorsoAdulti
CHN172 ,Studente
PSN001 ,CorsoAdulti
CRC113 ,CorsoAdulti
CTC093 ,CorsoAdulti
RSN455 ,CorsoAdulti
FLC128 ,CorsoAdulti
ZNC065 ,CorsoAdulti
SCR345 ,CorsoAdulti
FLM001 ,CorsoAdulti
MNR066 ,CorsoAdulti
RZZ022 ,CorsoAdulti
VDL015 ,CorsoAdulti
PCC094 ,CorsoAdulti
MPR013 ,CorsoAdulti
CSZ093 ,CorsoAdulti
VCZ013 ,CorsoAdulti
CNN444 ,CorsoAdulti
MNR141 ,CorsoAdulti
CLD023 ,CorsoAdulti
RMN135 ,CorsoAdulti
MRT280 ,CorsoAdulti
MRT117 ,CorsoAdulti
CHN118 ,CorsoAdulti
BRR204 ,CorsoAdulti
LPR069 ,Studente
GDN015 ,CorsoAdulti
PVN006 ,CorsoAdulti
MCR024 ,CorsoAdulti
CCL044 ,CorsoAdulti
BRT108 ,CorsoAdulti
LCL122 ,CorsoAdulti
PRN541 ,CorsoAdulti
FRZ046 ,CorsoAdulti
RSN101 ,CorsoAdulti
GSR084 ,CorsoAdulti
FBL014 ,Studente
MRX050 ,CorsoAdulti
DNT105 ,CorsoAdulti
MRZ216 ,CorsoAdulti
LPL077 ,CorsoAdulti
SCL074 ,CorsoAdulti
VRP003 ,CorsoAdulti
SGN004 ,CorsoAdulti
TSV009 ,CorsoAdulti
MSL288 ,CorsoAdulti
FRN145 ,Studente
BLN172 ,CorsoAdulti
RDC005 ,CorsoAdulti
PSP036 ,CorsoAdulti
GRN421 ,CorsoAdulti
TRL144 ,CorsoAdulti
GRB011 ,CorsoAdulti
ZZP010 ,CorsoAdulti
DBD018 ,CorsoAdulti
FRC066 ,CorsoAdulti
BNL311 ,CorsoAdulti
MSS066 ,CorsoAdulti
LMR107 ,CorsoAdulti
STR180 ,CorsoAdulti
PNL124 ,CorsoAdulti
PLC215 ,CorsoAdulti
NNR077 ,CorsoAdulti
GML019 ,CorsoAdulti
VRL128 ,CorsoAdulti
FLL031 ,CorsoAdulti
BLR061 ,CorsoAdulti
MNR511 ,CorsoAdulti
PRL121 ,CorsoAdulti
VCR007 ,CorsoAdulti
MRR751 ,CorsoAdulti
DFL080 ,CorsoAdulti
MNT266 ,CorsoAdulti
FRT293 ,CorsoAdulti
NRC046 ,CorsoAdulti
RKR002 ,CorsoAdulti
BRL432 ,CorsoAdulti
BSR155 ,CorsoAdulti
TLR039 ,CorsoAdulti
PLR322 ,CorsoAdulti
FRL648 ,CorsoAdulti
PLN037 ,CorsoAdulti
NCZ016 ,CorsoAdulti
DSG019 ,CorsoAdulti
TRN123 ,CorsoAdulti
PRR091 ,CorsoAdulti
MRR816 ,CorsoAdulti
MZN159 ,CorsoAdulti
RDR056 ,CorsoAdulti
CRR666 ,CorsoAdulti
LNV020 ,CorsoAdulti
SLL236 ,CorsoAdulti
CNL406 ,CorsoAdulti
GLL272 ,CorsoAdulti
DDN070 ,CorsoAdulti
SLL111 ,CorsoAdulti
CHL031 ,CorsoAdulti
BLN101 ,CorsoAdulti
PNC044 ,Studente
SBN072 ,CorsoAdulti
SPL210 ,CorsoAdulti
SCD043 ,CorsoAdulti
TRZ114 ,CorsoAdulti
BNL450 ,CorsoAdulti
TNC060 ,CorsoAdulti
SRT104 ,CorsoAdulti
TRL432 ,CorsoAdulti
STN147 ,CorsoAdulti
GPH001 ,CorsoAdulti
STR144 ,CorsoAdulti
CRD132 ,CorsoAdulti
MRG191 ,CorsoAdulti
GGR086 ,CorsoAdulti
FRG029 ,CorsoAdulti
DSL127 ,CorsoAdulti
CNG010 ,CorsoAdulti
MGG003 ,CorsoAdulti
VNL037 ,CorsoAdulti
LNR181 ,CorsoAdulti
MCL143 ,CorsoAdulti
FLC127 ,CorsoAdulti
PNR048 ,CorsoAdulti
SCG080 ,CorsoAdulti
PDL073 ,CorsoAdulti
TMZ030 ,CorsoAdulti
BNM047 ,CorsoAdulti
DTN009 ,Studente
SNZ019 ,CorsoAdulti
SNZ070 ,CorsoAdulti
NNR013 ,CorsoAdulti
MND043 ,CorsoAdulti
VRN041 ,CorsoAdulti
VNC018 ,CorsoAdulti
DTL027 ,CorsoAdulti
CRR154 ,CorsoAdulti
LZT023 ,CorsoAdulti
GHC037 ,CorsoAdulti
MCD010 ,CorsoAdulti
LBN135 ,CorsoAdulti
SCP015 ,CorsoAdulti
SND018 ,CorsoAdulti
BRC128 ,CorsoAdulti
DLT033 ,CorsoAdulti
MNC348 ,CorsoAdulti
RMG036 ,CorsoAdulti
FRG018 ,CorsoAdulti
BCZ031 ,CorsoAdulti
CPL034 ,CorsoAdulti
MRM074 ,CorsoAdulti
FRF010 ,CorsoAdulti
BSV003 ,CorsoAdulti
VTD027 ,CorsoAdulti
BRP135 ,CorsoAdulti
VGN020 ,CorsoAdulti
PRC180 ,CorsoAdulti
SPL216 ,CorsoAdulti
BLN003 ,CorsoAdulti
GLL075 ,CorsoAdulti
CHZ009 ,CorsoAdulti
CTD044 ,CorsoAdulti
DFN075 ,CorsoAdulti
CRZ143 ,CorsoAdulti
NSR009 ,CorsoAdulti
NCL088 ,CorsoAdulti
GRR489 ,CorsoAdulti
GDZ013 ,CorsoAdulti
MNC261 ,CorsoAdulti
NTN034 ,CorsoAdulti
FNR009 ,CorsoAdulti
PRD046 ,CorsoAdulti
SNN294 ,CorsoAdulti
MSZ065 ,CorsoAdulti
RGS036 ,CorsoAdulti
FDN046 ,CorsoAdulti
RGM022 ,CorsoAdulti
BNL454 ,CorsoAdulti
NZL002 ,CorsoAdulti
RGN167 ,CorsoAdulti
PRC051 ,CorsoAdulti
PGL131 ,CorsoAdulti
SNL215 ,CorsoAdulti
PRN121 ,CorsoAdulti
MZL130 ,CorsoAdulti
BSC030 ,CorsoAdulti
CRR085 ,CorsoAdulti
PLP041 ,CorsoAdulti
CRN128 ,CorsoAdulti
DMN245 ,CorsoAdulti
RCN246 ,Studente
LSN118 ,CorsoAdulti
MGL142 ,CorsoAdulti
CSR340 ,CorsoAdulti
CFC018 ,CorsoAdulti
GNN127 ,CorsoAdulti
FRP089 ,CorsoAdulti
BLV018 ,CorsoAdulti
PNT092 ,CorsoAdulti
SBR019 ,CorsoAdulti
CRL158 ,CorsoAdulti
STR208 ,CorsoAdulti
BRL904 ,CorsoAdulti
VDL016 ,CorsoAdulti
FDZ008 ,CorsoAdulti
CBZ002 ,CorsoAdulti
CRN867 ,CorsoAdulti
DNL068 ,CorsoAdulti
CRS198 ,CorsoAdulti
SCN486 ,CorsoAdulti
TFN012 ,CorsoAdulti
STB003 ,CorsoAdulti
LMN015 ,CorsoAdulti
NGT037 ,CorsoAdulti
TBR018 ,CorsoAdulti
PSN206 ,CorsoAdulti
ZML048 ,CorsoAdulti
LPN094 ,CorsoAdulti
CRN193 ,CorsoAdulti
SPG010 ,CorsoAdulti
NGN133 ,CorsoAdulti
PSN050 ,CorsoAdulti
STV022 ,CorsoAdulti
RLL069 ,CorsoAdulti
PDR016 ,CorsoAdulti
GRR093 ,CorsoAdulti
SLR035 ,CorsoAdulti
DSM016 ,CorsoAdulti
DPN016 ,CorsoAdulti
BCC015 ,CorsoAdulti
BRR213 ,CorsoAdulti
CSP002 ,CorsoAdulti
SSN017 ,CorsoAdulti
BRT496 ,CorsoAdulti
CRN922 ,CorsoAdulti
CPR213 ,CorsoAdulti
DLL433 ,CorsoAdulti
DCZ032 ,CorsoAdulti
TDD021 ,CorsoAdulti
CRN862 ,CorsoAdulti
LNZ060 ,CorsoAdulti
BRM021 ,CorsoAdulti
CCN112 ,CorsoAdulti
LCL121 ,CorsoAdulti
BRL899 ,CorsoAdulti
GLB004 ,CorsoAdulti
CRN879 ,CorsoAdulti
PNR181 ,CorsoAdulti
DLR308 ,CorsoAdulti
PTR109 ,CorsoAdulti
STL057 ,CorsoAdulti
PSZ048 ,CorsoAdulti
DMR159 ,CorsoAdulti
CPL035 ,CorsoAdulti
PPR011 ,CorsoAdulti
MCR059 ,CorsoAdulti
DRL030 ,CorsoAdulti
TRR323 ,CorsoAdulti
MZN163 ,CorsoAdulti
DGS030 ,CorsoAdulti
MSS067 ,CorsoAdulti
TRM034 ,CorsoAdulti
PCZ047 ,CorsoAdulti
FRR111 ,CorsoAdulti
BRZ232 ,CorsoAdulti
LNG050 ,CorsoAdulti
GRV027 ,CorsoAdulti
PLN423 ,CorsoAdulti
CSY009 ,CorsoAdulti
CNN096 ,CorsoAdulti
CMG005 ,CorsoAdulti
MCN036 ,CorsoAdulti
BRS046 ,CorsoAdulti
SLR051 ,CorsoAdulti
VNZ053 ,CorsoAdulti
ZGL013 ,CorsoAdulti
BLJ002 ,CorsoAdulti
DMT094 ,Studente
RDG011 ,CorsoAdulti
SNN157 ,CorsoAdulti
BZL052 ,CorsoAdulti
MTL133 ,CorsoAdulti
MCZ024 ,CorsoAdulti
PLG097 ,CorsoAdulti
CSN395 ,CorsoAdulti
GLN084 ,CorsoAdulti
CMD064 ,CorsoAdulti
MCS017 ,CorsoAdulti
SPC127 ,CorsoAdulti
CRL734 ,CorsoAdulti
RSN423 ,Studente
FLR025 ,CorsoAdulti
DDC030 ,CorsoAdulti
MNL128 ,CorsoAdulti
VND066 ,CorsoAdulti
SRC022 ,CorsoAdulti
TNN017 ,CorsoAdulti
CRC415 ,CorsoAdulti
GRN061 ,CorsoAdulti
