Associazione,Studenti,EtaMedia,Regione,AnnoInizio,AnnoFine,AnniAttivi
SES E.DeAMICIS (IC Gramsci)To,95,17.2,PIE,2017,2019,3
SMS PISCINA (IC.Pinerolo3^)-To,95,19.2,PIE,2017,2020,4
IC Statale nr. 6 - Ca,93,20.0,SAR,2017,2019,3
SES Battisti (IC Viola) - TA,87,16.9,PUG,2019,2019,1
SES FELLINI (IC Alighieri)- Rn,79,17.5,EMI,2017,2019,3
SOC.CANOTTIERI MILANO,65,19.6,LOM,2018,2025,7
SES Piero JAHIER (IC.Marro)-To,64,16.5,PIE,2018,2019,2
SES G.Rodari-IC Villanova-At,63,16.8,PUG,2019,2019,1
LCl T-Mamiani - PU,62,24.6,MAR,2018,2018,1
CIRCOLO BRIDGE CATANIA,58,23.4,SIC,2017,2022,6
SE MT.CALCUTTA (IC Alighieri)-,53,17.0,EMI,2019,2019,1
CENTOBUCHI BRIDGE,51,15.2,MAR,2018,2025,8
C.PORTA SUSA A.S.D.,46,25.9,PIE,2018,2022,5
Liceo Nolfi-Apolloni - Pu,46,25.0,MAR,2018,2018,1
IIS P.Aldi- LS G.Marconi -GR,42,23.0,TOS,2018,2019,2
SES Aldo MEI (IC Gramsci),41,18.6,PIE,2017,2018,2
SES Wolf Ferrari-(IC Filzi)-MI,38,17.9,LOM,2018,2018,1
SMS Toscanini (IC F.Filzi)-MI,37,19.0,LOM,2017,2019,3
LS Vittorio Veneto - MI,36,21.8,LOM,2018,2025,4
ITAS Matteo RICCI-MC,35,24.6,   ,2017,2019,3
SES D.Raggi (IC Alighieri)-RN,35,17.0,EMI,2019,2019,1
CIRCOLO TEVERE BRIDGE A.S.D.,34,18.0,LAZ,2017,2025,3
1° IC Giovanni VERGA - Sr,31,20.1,SIC,2018,2019,2
IC F.Marro - To,30,18.9,PIE,2017,2020,2
ALBA BRIDGE CLUB,29,27.1,LOM,2017,2025,5
IIS Enrico Mattei - Mc,29,24.8,MAR,2018,2018,1
IC San Tommaso d'Aquino,29,19.7,CAM,2017,2019,3
DI.GI.EC -Univ.Mediterranea-RC,28,33.2,CAB,2017,2018,2
IC Giovanni Paolo II - SA,28,18.5,CAM,2018,2019,2
IC Giov XXIII (IC Misano Ad),27,18.7,EMI,2017,2019,3
IC P.Sottocorno - MI,26,20.3,LOM,2018,2018,1
SES/IC Filp.MariaBeltrami-Vb,25,15.6,PIE,2019,2019,1
LS ALES.ANTONELLI  -NO,23,24.0,PIE,2018,2019,2
IC1 Costantino MARMOCCHI,22,19.8,TOS,2018,2019,2
LS Leonardo Da Vinci - An,22,22.8,MAR,2017,2018,2
ETNA BRIDGE ASD,22,17.6,SIC,2019,2025,7
BRIDGE CONVIVIUM,22,20.9,SIC,2018,2025,6
ESTE BRIDGE,22,19.7,LAZ,2022,2023,2
SES-HURBINEK (IC Marro) - To,22,19.0,PIE,2017,2017,1
Università Studi di Parma,21,33.0,EMI,2018,2019,2
IC.-1 e 2 grd.Parit-AM Francia,20,20.6,LOM,2018,2018,1
LS Benedetto Croce - PA,19,23.2,SIC,2019,2019,1
LS Primo LEVI      -RM,19,21.9,LAZ,2018,2023,2
BRIDGE INSTITUTE 2000,19,22.9,LOM,2017,2025,9
"ICS ""S. PERTINI"" - MARTINSICURO",18,14.7,ABR,2019,2025,4
IDEA BRIDGE TORINO,18,24.3,PIE,2017,2025,9
IC Alighieri-Fermi (centr).RN,18,19.6,EMI,2017,2019,3
SES Centobuchi (IC Mntprnd)-Ap,18,15.0,MAR,2019,2019,1
IC Vittorino da Feltre - CT,17,13.4,SIC,2019,2024,2
ASS.RIMINI BRIDGE,16,15.9,EMI,2017,2025,7
ISIS Fossombrone - GR,16,23.2,TOS,2018,2018,1
SES Salvadori(SC Fracaseti)-FM,15,16.4,MAR,2019,2019,1
PALLADIO BRIDGE,15,17.7,VEN,2024,2025,2
LS G.Mazzini - NA,15,21.6,CAM,2018,2019,2
LC Vitt. Emanuele II - NA,15,23.9,CAM,2017,2019,3
ISC Fracassetti - FM,15,17.0,MAR,2018,2018,1
SMS L.do DA VINCI  -Mi,15,20.1,LOM,2017,2019,3
SMS M. Pluchinotta - Ct,15,18.2,SIC,2019,2020,2
IIS Majorana - PA,14,23.2,SIC,2018,2019,2
LS Gaetano Salvemini - Na,14,23.7,CAM,2018,2019,2
"CIRCOLO DEL  BRIDGE ""N.DITTO""",13,26.6,CAB,2017,2022,5
IIS G.Bonfantini-NO,13,25.4,PIE,2019,2019,1
LS FARNESINA - RM,13,20.3,LAZ,2017,2023,2
SES Monteprandone (IC id.) Ap,12,15.7,MAR,2019,2019,1
SMS di VStrona-IC OmegnaCrg-Vb,12,19.1,PIE,2019,2019,1
LS G.Lombardo RADICE,12,24.6,SIC,2017,2019,3
BRIDGE CLUB SIRACUSA,12,21.8,SIC,2019,2025,6
IIS L.Donati - Pu,12,22.9,MAR,2018,2018,1
L.S. Augusto Righi - RM,12,19.6,LAZ,2022,2023,2
ARCA BRIDGE ASD,12,30.1,LOM,2017,2018,2
LS  G.B.GRASSI     -LT,11,23.0,LAZ,2017,2019,2
BRIDGE ICHNOS,11,21.8,SAR,2017,2021,5
ACCADEMIA DEL BRIDGE,11,27.6,LAZ,2017,2019,3
SES Don Peppe Diana (IC D'Ac),11,18.6,CAM,2018,2019,2
SES G.Rosazza - To,11,16.1,PIE,2019,2019,1
C.LO BRIDGE NOVARA,11,22.7,PIE,2018,2025,6
IIS Margherita Hack - SA,10,23.2,CAM,2019,2019,1
ARCADIA BENBRIDGE SSD A R.L.,10,29.6,LAZ,2017,2019,3
ASSOCIAZIONE BRIDGE CREMA,10,18.6,LOM,2018,2025,4
IC M.PURRELLO - Ct,10,13.0,SIC,2019,2024,3
LS Cannizzaro - RM,10,24.8,LAZ,2018,2018,1
SES M.PERON-IC R.M.Stella-VB,10,15.0,PIE,2019,2019,1
BR.FILARMONICA MACERATA,10,22.1,MAR,2019,2023,2
Ist.Istruz.Sup.V.BACHELET - MI,9,24.3,LOM,2019,2019,1
IC Rina Monti STELLA,9,16.0,PIE,2019,2019,1
IIS Gulli e Pennisi - Acireale,9,17.9,SIC,2024,2025,2
SES Guglielmazzi (IC Stella)Vb,9,15.0,PIE,2019,2019,1
ETNA BRIDGE SSD A R.L.,9,23.2,SIC,2017,2018,2
LS S.Vittorini - MI,8,24.8,LOM,2018,2018,1
SPORT CLUB  DIL. RAPID,8,23.4,EMI,2018,2025,4
IIS ALESSANDRINI - Mi,8,23.4,LOM,2017,2019,3
ITI Galileo FERRARIS - Ct,8,24.5,SIC,2017,2019,2
IC di Via Finetti - RM,8,19.1,LAZ,2018,2018,1
LS O.M.Corbino - SR,8,22.9,SIC,2018,2018,1
IC Giuseppe PARINI -CT,8,16.6,SIC,2019,2020,2
BRIDGE EUR  S.S.D. A R.L.,7,25.6,LAZ,2017,2019,3
C.LO BIELLESE BRIDGE,7,24.2,PIE,2017,2019,3
BRIDGE BOLOGNA CENTRO,7,28.7,EMI,2017,2024,4
