Associazione,Iscritti,EtaMedia,Regione
IDEA BRIDGE TORINO,247,63.9,PIE
ALBA BRIDGE CLUB,213,61.8,LOM
ARCADIA BENBRIDGE SSD A R.L.,195,67.3,LAZ
ETNA BRIDGE ASD,186,65.9,TOS
CIRCOLO BRIDGE CATANIA,175,69.0,LAZ
CIRCOLO TEVERE BRIDGE A.S.D.,164,67.8,LAZ
ARCA BRIDGE ASD,156,67.7,LOM
BRIDGE ICHNOS,153,66.5,SAR
BRIDGE INSTITUTE 2000,150,67.7,LOM
RAVENNA BRIDGE,131,65.2,EMI
BRIDGE SELARGIUS,130,69.9,SAR
ROMA TOP BRIDGE,130,74.3,LAZ
BRIDGE BOLOGNA CENTRO,126,66.9,EMI
C.PORTA SUSA A.S.D.,125,67.6,PIE
BRIDGE EUR  S.S.D. A R.L.,125,68.1,LAZ
MONZA BRIDGE,119,63.5,LOM
ASS.BR.PALERMO,117,68.2,SIC
BRIDGE LECCO,99,62.3,LOM
LIBURNA BRIDGE,95,66.0,LIG
BERGAMASCA BRIDGE,94,65.2,LOM
BRIDGE FARNESE PIACENZA,86,64.7,EMI
CIRCOLO BRIDGE ARCO,86,63.0,PUG
ASD CIRCOLO BOCCIOFILA LIDO,85,64.7,LIG
C.LO BRIDGE MESTRE,82,70.3,VEN
BRIDGE CHIAVARI,81,71.3,LIG
BRIDGE FOLIGNO,78,61.3,EMI
ASS.RIMINI BRIDGE,77,62.8,EMI
MOTO CLUB MILANO SSD A RL,74,65.9,LOM
BRIDGE PISTOIA,73,67.0,TOS
REALEBRIDGE,73,62.1,LAZ
ROSSINI BR.PESARO,72,64.9,MAR
BRIDGE BOLOGNA RASTIGNANO,69,66.3,EMI
SPORT CLUB  DIL. RAPID,68,64.0,EMI
BRIDGE MESSINA,65,62.9,MAR
BRIDGE CLUB DELFINI JONICI,64,66.9,PUG
A.BERGAMASCA BR.LORETO,64,64.6,LOM
ASD C.LO BR. PESCARA RIVIERA,61,69.9,ABR
C.LO BRIDGE NOVARA,60,65.4,PIE
BRIDGE CLUB CASERTA ASD,60,65.7,EMI
PESCARA BRIDGE,59,69.7,ABR
CIRCOLO EREMITANI,58,73.7,VEN
MONDELLO BRIDGE ASD,57,63.7,SIC
OPEN BEACH MILANO SSD A RL,57,64.5,LOM
"CIRCOLO DEL  BRIDGE ""N.DITTO""",56,63.5,CAB
BRIDGE VARESE,55,67.1,LOM
CIRCOLO BRIDGE CAGLI,54,69.7,MAR
C.LO CITTADINO VERONA BRIDGE,53,70.7,VEN
"C.LO DEL BRIDGE FI ""CAMILLO PABIS TICCI""",53,64.2,TOS
LIVORNO STANZE CIVICHE,52,69.1,TOS
BR.ASS.COMOCANTUHELIOS,52,72.3,LOM
A.BR.NINO MARCON VE,52,75.8,VEN
BAVENO BRIDGE CLUB,50,65.5,PIE
AGORA' ASD BRIDGE CLUB,47,63.5,VEN
ACCADEMIA DEL BRIDGE,47,65.7,LAZ
C.TENNIS E DELLA VELA ASD,46,65.4,SIC
ETNA BRIDGE SSD A R.L.,45,68.4,SIC
BRIDGE FIOCCHI ASD,45,67.0,LOM
C.DEL BRIDGE TRIESTE - ASD,45,70.8,FRI
BRIDGE CONVIVIUM,45,61.9,SIC
LATINA PROGETTO BRIDGE,44,65.2,LAZ
VIAREGGIO VERSILIA BR. A.S.D.,44,59.0,TOS
CIRCOLO BRIDGE 2000,43,66.0,LOM
NEAPOLIS BRIDGE,43,62.1,TOS
BRIDGE CUSANO MILANINO,43,74.4,LOM
POGGIO BRIDGE,42,66.8,SAR
C.LO BIELLESE BRIDGE,42,61.5,PIE
FERRARA  BRIDGE E BURRACO,42,63.7,EMI
C.LO DEL BRIDGE VENEZIA,42,67.6,VEN
NUOVO BRIDGE INSIEME,41,65.9,LAZ
ANKON BRIDGE ANCONA,38,69.1,MAR
ASD CANOTTIERI TICINO PAVIA,38,64.9,LOM
G.B.R.L.BARBERA,38,60.6,CAB
NUOVO TUSCOLO SP.CL.SSD A RL,37,73.5,LAZ
NUOVA ARCADIA BRIDGE,37,66.8,LAZ
RECANATI BRIDGE,36,64.2,MAR
BRIDGE CLUB DRUSO,36,67.8,LOM
BRIDGE CLUB FORTE DEI MARMI,36,65.9,TOS
"BR.MODENA ""C.LO PERROUX""",36,69.4,EMI
C.LO DEL BRIDGE MONOPOLI,35,65.3,PUG
QUARTU S.ELENA BR.,34,74.5,SAR
ALESSANDRIA BRIDGE,34,62.2,PIE
IL CLUBINO BRIDGE NAPOLI,34,66.3,CAM
JUNIOR BRIDGE CLUB PERUGIA,34,71.0,UMB
AMICI DEL BRIDGE BARI,33,66.0,PUG
BRIDGE CATANZARO,33,70.7,CAB
CENTOBUCHI BRIDGE,32,61.6,MAR
BRIDGE BORDIGHERA,32,65.7,LIG
BRIDGE EREMITANI ASD,31,66.5,VEN
PORTA SUSA ASD,31,66.1,PIE
BRIDGE FALCONARA,30,68.3,MAR
M. AMMENDOLIA ASD,30,72.9,SIC
APSD C.MAGISTRATI C.C.,28,57.9,LAZ
EQUILIUM VENEZIA ASD,28,67.3,VEN
TENNIS CLUB GENOVA 1893 ASD,28,65.9,LIG
BRIDGE CLUB SANREMO,28,65.8,PUG
QUADRI LIVORNO,28,69.4,TOS
PERUGIA BRIDGE,27,64.0,UMB
CIRCOLO BRIDGE ORISTANO - SOMS,27,67.9,SAR
C.LO BR.CITTA' DI UD,27,61.7,FRI
AMICI DEL BRIDGE FIRENZE,26,64.9,TOS
BRIDGE CLUB PRATO,26,67.2,TOS
C.LO BRIDGE SALERNO,26,61.0,CAM
ASD SPORTING STELLE DEL SUD,25,58.0,CAB
BRIDGE CHIARAVALLE,25,70.0,MAR
BRIDGE PINEROLO,25,72.7,PIE
OLGIATA GOLF CLUB A.D.,25,70.6,LAZ
BRIDGE SERSANTI DI IMOLA,25,67.1,EMI
BRIDGE PARTENOPE,24,73.1,FRI
PLANET BRIDGE,23,66.4,LOM
BRIDGE LEGNANO,22,69.6,LOM
MONTECATINI TERME BRIDGE,21,59.1,TOS
ASSOCIAZIONE BRIDGE CREMA,21,67.9,PIE
QUELLI CHE IL BRIDGE ...,20,63.8,LOM
BR.FILARMONICA MACERATA,20,69.4,MAR
HELVIA CLUANA,20,62.0,MAR
TARANTO BRIDGE ASD,20,63.8,PUG
DUE FIORI BRIDGE,20,62.2,CAM
BRIDGE.CSC BARBERIS,19,66.6,PIE
C.LO CANOTTIERI NAPOLI A.S.D.,19,69.5,CAM
BRIDGE CLUB LA VALLEE  ASD,19,68.0,VAO
ANZIO &  NETTUNO BRIDGE CLUB ASD,19,69.7,LAZ
CLUB DI B.CONEGLIANO ASD,18,68.5,VEN
BRIDGE CLUB TRENTO,18,65.0,TRT
BRIDGE CARRARA,18,63.7,TOS
PALLADIO BRIDGE,17,73.9,VEN
CIRCOLO BRIDGE CARLO STAMPA SASSUOLO,17,59.3,EMI
BRIDGE VITERBO,17,72.9,LAZ
CASTELVECCHIO VERONA,17,73.9,VEN
ANGOLO VERDE PG,16,69.5,UMB
BRIDGE CLUB SIRACUSA,16,63.4,SIC
GLI SPORT DELLA MENTE ASD,16,73.2,UMB
ASD POLISPORTIVA GRIFONE,16,70.5,TOS
ASS.SP.DILETTANTISTICA BRIDGE COSENZA,15,65.5,CAB
