Anno,FasciaEta,Tesserati,Ritesserati,ChurnTotale,StimaDecessi,StimaInfermi,ChurnReale,RetentionPct,ChurnRealePct
2017->2018,80-90,5331,4767,564,132,265,167,89.4,3.1
2017->2018,90+,1350,1118,232,68,136,28,82.8,2.1
2017->2018,70-80,6449,5869,580,99,198,283,91.0,4.4
2017->2018,60-70,2975,2687,288,29,59,200,90.3,6.7
2017->2018,50-60,847,748,99,5,11,83,88.3,9.8
2017->2018,<18,76,28,48,0,0,48,36.8,63.2
2017->2018,18-30,327,157,170,0,1,169,48.0,51.7
2017->2018,40-50,243,206,37,1,2,34,84.8,14.0
2017->2018,30-40,194,151,43,0,0,43,77.8,22.2
2018->2019,80-90,5595,4891,704,165,331,208,87.4,3.7
2018->2019,40-50,290,224,66,1,3,62,77.2,21.4
2018->2019,<18,225,49,176,0,0,176,21.8,78.2
2018->2019,60-70,3295,2896,399,41,82,276,87.9,8.4
2018->2019,90+,1332,1055,277,81,162,34,79.2,2.6
2018->2019,70-80,7002,6214,788,134,269,385,88.7,5.5
2018->2019,50-60,952,813,139,8,16,115,85.4,12.1
2018->2019,18-30,763,227,536,2,5,529,29.8,69.3
2018->2019,30-40,261,157,104,1,2,101,60.2,38.7
2019->2020,80-90,5386,4203,1183,278,556,349,78.0,6.5
2019->2020,40-50,287,199,88,2,4,82,69.3,28.6
2019->2020,60-70,3418,2762,656,67,135,454,80.8,13.3
2019->2020,90+,1143,749,394,115,231,48,65.5,4.2
2019->2020,70-80,6975,5761,1214,207,414,593,82.6,8.5
2019->2020,50-60,1025,765,260,15,30,215,74.6,21.0
2019->2020,<18,572,26,546,1,2,543,4.5,94.9
2019->2020,18-30,536,79,457,2,4,451,14.7,84.1
2019->2020,30-40,228,131,97,0,1,96,57.5,42.1
2020->2021,80-90,4367,2436,1931,454,908,569,55.8,13.0
2020->2021,40-50,218,160,58,1,3,54,73.4,24.8
2020->2021,90+,776,295,481,141,282,58,38.0,7.5
2020->2021,70-80,6073,4122,1951,333,666,952,67.9,15.7
2020->2021,60-70,2976,2241,735,76,152,507,75.3,17.0
2020->2021,50-60,845,634,211,12,24,175,75.0,20.7
2020->2021,30-40,148,110,38,0,0,38,74.3,25.7
2020->2021,18-30,91,64,27,0,0,27,70.3,29.7
2020->2021,<18,32,19,13,0,0,13,59.4,40.6
2021->2022,80-90,2730,2317,413,97,194,122,84.9,4.5
2021->2022,90+,338,246,92,27,54,11,72.8,3.3
2021->2022,70-80,4631,4042,589,100,201,288,87.3,6.2
2021->2022,60-70,2630,2270,360,37,74,249,86.3,9.5
2021->2022,50-60,776,636,140,8,16,116,82.0,14.9
2021->2022,30-40,160,112,48,0,0,48,70.0,30.0
2021->2022,18-30,112,73,39,0,0,39,65.2,34.8
2021->2022,40-50,228,173,55,1,3,51,75.9,22.4
2021->2022,<18,44,21,23,0,0,23,47.7,52.3
2022->2023,80-90,3018,2456,562,132,264,166,81.4,5.5
2022->2023,90+,334,232,102,30,60,12,69.5,3.6
2022->2023,60-70,2828,2496,332,34,68,230,88.3,8.1
2022->2023,70-80,5011,4391,620,105,211,304,87.6,6.1
2022->2023,50-60,841,700,141,8,16,117,83.2,13.9
2022->2023,30-40,154,121,33,0,0,33,78.6,21.4
2022->2023,40-50,226,191,35,0,1,34,84.5,15.0
2022->2023,18-30,124,87,37,0,0,37,70.2,29.8
2022->2023,<18,45,27,18,0,0,18,60.0,40.0
2023->2024,80-90,2915,2405,510,120,240,150,82.5,5.1
2023->2024,60-70,3088,2731,357,36,73,248,88.4,8.0
2023->2024,70-80,5230,4584,646,110,220,316,87.6,6.0
2023->2024,50-60,922,797,125,7,14,104,86.4,11.3
2023->2024,90+,284,213,71,20,41,10,75.0,3.5
2023->2024,18-30,162,89,73,0,0,73,54.9,45.1
2023->2024,30-40,159,128,31,0,0,31,80.5,19.5
2023->2024,40-50,267,219,48,1,2,45,82.0,16.9
2023->2024,<18,48,30,18,0,0,18,62.5,37.5
2024->2025,80-90,2767,2280,487,114,229,144,82.4,5.2
2024->2025,70-80,5321,4652,669,114,228,327,87.4,6.1
2024->2025,60-70,3351,3000,351,36,72,243,89.5,7.3
2024->2025,50-60,1050,911,139,8,16,115,86.8,11.0
2024->2025,40-50,287,231,56,1,3,52,80.5,18.1
2024->2025,90+,241,170,71,20,41,10,70.5,4.1
2024->2025,18-30,141,95,46,0,0,46,67.4,32.6
2024->2025,30-40,162,132,30,0,0,30,81.5,18.5
2024->2025,<18,136,72,64,0,0,64,52.9,47.1
