CodCircolo,NomeCircolo,Regione,Tess2017,Eta2017,Tess2025,Eta2025,Gare2025,Variazione,VariazionePct,Status
C0017,AVELLINO BRIDGE,Campania,4.0,25.5,0.0,,,-4.0,-100.0,Critico
C0022,,,0.0,,4.0,18.25,1.5,4.0,,
C0024,,,0.0,,2.0,12.5,10.5,2.0,,
C0026,BERGAMASCA BRIDGE,Lombardia,1.0,26.0,1.0,22.0,21.0,0.0,0.0,Stabile
C0028,C.LO BIELLESE BRIDGE,Piemonte,1.0,25.0,0.0,,,-1.0,-100.0,Critico
C0030,BRIDGE BOLOGNA,Emilia-Romagna,6.0,30.5,0.0,,,-6.0,-100.0,Critico
C0038,BRESCIA BRIDGE,Lombardia,11.0,30.181818181818183,0.0,,,-11.0,-100.0,Critico
C0050,BRIDGE CARRARA,Toscana,1.0,28.0,0.0,,,-1.0,-100.0,Critico
C0079,,,0.0,,1.0,25.0,8.0,1.0,,
C0080,,,0.0,,3.0,17.333333333333332,4.0,3.0,,
C0102,BRIDGE FORLI',Emilia-Romagna,1.0,34.0,2.0,11.0,22.5,1.0,100.0,Eccellente
C0127,BRIDGE LATINA,Lazio,9.0,26.666666666666668,0.0,,,-9.0,-100.0,Critico
C0158,,,0.0,,2.0,20.0,3.0,2.0,,
C0162,MONZA BRIDGE,Lombardia,1.0,31.0,1.0,25.0,89.0,0.0,0.0,Stabile
C0168,,,0.0,,5.0,19.4,3.2,5.0,,
C0174,PADOVA BRIDGE,Veneto,2.0,32.5,0.0,,,-2.0,-100.0,Critico
C0178,,,0.0,,4.0,18.75,25.5,4.0,,
C0202,BRIDGE PISTOIA,Toscana,1.0,23.0,1.0,23.0,15.0,0.0,0.0,Stabile
C0214,C.BRIDGE N.DITTO  RC,Calabria,8.0,27.75,0.0,,,-8.0,-100.0,Critico
C0217,ASS.RIMINI BRIDGE,Emilia-Romagna,2.0,21.0,14.0,14.142857142857142,2.7142857142857144,12.0,600.0,Eccellente
C0224,C.LO BRIDGE SALERNO,Campania,1.0,22.0,0.0,,,-1.0,-100.0,Critico
C0229,BRIDGE BOLOGNA RASTIGNANO,Emilia-Romagna,1.0,25.0,0.0,,,-1.0,-100.0,Critico
C0244,BRIDGE SENIGALLIA,Marche,2.0,21.5,0.0,,,-2.0,-100.0,Critico
C0266,,,0.0,,4.0,17.5,10.25,4.0,,
C0282,,,0.0,,1.0,25.0,1.0,1.0,,
C0322,,,0.0,,9.0,15.666666666666666,2.5555555555555554,9.0,,
C0326,A.S.D. SPORTING CLUB MILANO  2,Lombardia,1.0,30.0,0.0,,,-1.0,-100.0,Critico
C0333,VERSILIA BRIDGE AND GAMES,Toscana,1.0,26.0,0.0,,,-1.0,-100.0,Critico
C0376,BRIDGE PARTENOPE,Campania,1.0,29.0,0.0,,,-1.0,-100.0,Critico
C0409,,,0.0,,2.0,19.0,1.5,2.0,,
C0429,APSD C.MAGISTRATI C.C.,Lazio,3.0,30.5,0.0,,,-3.0,-100.0,Critico
C0430,IDEA BRIDGE TORINO,Piemonte,4.0,29.5,0.0,,,-4.0,-100.0,Critico
C0444,,,0.0,,2.0,12.5,2.5,2.0,,
C0447,BRIDGE EUR  S.S.D. A R.L.,Lazio,2.0,24.0,0.0,,,-2.0,-100.0,Critico
C0449,,,0.0,,1.0,24.0,2.0,1.0,,
C0466,BRIDGE ICHNOS,Sardegna,1.0,23.0,0.0,,,-1.0,-100.0,Critico
C0503,BRIDGE INSTITUTE 2000,Lombardia,1.0,32.0,4.0,18.75,1.75,3.0,300.0,Eccellente
C0504,BRIDGE JESI,Marche,1.0,24.0,0.0,,,-1.0,-100.0,Critico
C0539,NUOVO BRIDGE INSIEME,Lazio,2.0,29.0,0.0,,,-2.0,-100.0,Critico
C0546,CIRCOLO DEL BRIDGE FI,Toscana,2.0,31.0,1.0,0.0,5.0,-1.0,-50.0,Critico
C0559,,,0.0,,1.0,18.0,8.0,1.0,,
C0577,BRIDGE 3A S.S.D. A R.L.,Lazio,1.0,27.0,0.0,,,-1.0,-100.0,Critico
C0595,,,0.0,,2.0,23.0,4.5,2.0,,
C0596,VIAREGGIO VERSILIA BR. A.S.D.,Toscana,2.0,31.5,0.0,,,-2.0,-100.0,Critico
C0624,,,0.0,,4.0,19.5,12.0,4.0,,
C0644,ACCADEMIA DEL BRIDGE,Lazio,1.0,26.0,0.0,,,-1.0,-100.0,Critico
C0674,ALESSANDRIA BRIDGE A.S.D.,Piemonte,3.0,29.666666666666668,1.0,22.0,2.0,-2.0,-66.7,Critico
C0680,,,0.0,,10.0,17.8,3.1,10.0,,
C0695,,,0.0,,10.0,17.7,7.1,10.0,,
C0719,IL BRIDGE,Lombardia,5.0,29.6,8.0,21.0,4.125,3.0,60.0,Eccellente
C0722,ETNA BRIDGE SSD A R.L.,Sicilia,7.0,22.857142857142858,4.0,11.5,2.25,-3.0,-42.9,Critico
C0726,APD TENNIS CLUB PRESIDENT,Emilia-Romagna,1.0,29.0,0.0,,,-1.0,-100.0,Critico
C0729,ARCADIA BENBRIDGE SSD A R.L.,Lazio,2.0,25.5,0.0,,,-2.0,-100.0,Critico
C0734,CIRCOLO TEVERE BRIDGE A.S.D.,Lazio,2.0,31.0,20.0,16.95,1.9,18.0,900.0,Eccellente
C0741,NUOVO TUSCOLO SP.CL.SSD A RL,Lazio,1.0,33.0,0.0,,,-1.0,-100.0,Critico
C0766,,,0.0,,13.0,11.76923076923077,20.615384615384617,13.0,,
C0769,,,0.0,,1.0,22.0,2.0,1.0,,
C0787,,,0.0,,1.0,23.0,3.0,1.0,,
C0807,,,0.0,,1.0,23.0,13.0,1.0,,
C0810,,,0.0,,1.0,22.0,3.0,1.0,,
C1601,CIRCOLO BRIDGE CATANIA,Sicilia,1.0,28.0,0.0,,,-1.0,-100.0,Critico
F0002,ABBADIA S.SALVATORE,Toscana,12.0,67.63636363636364,0.0,,,-12.0,-100.0,Critico
F0004,BRIDGE CLUB ALASSIO,Liguria,63.0,80.96825396825396,28.0,74.64285714285714,74.5,-35.0,-55.6,Critico
F0008,CHIMERA BRIDGE AREZZO,Toscana,8.0,80.5,0.0,,,-8.0,-100.0,Critico
F0011,BRIDGE VILLASANTA,Lombardia,88.0,81.48863636363636,0.0,,,-88.0,-100.0,Critico
F0017,AVELLINO BRIDGE,Campania,17.0,74.88235294117646,6.0,68.16666666666667,16.166666666666668,-11.0,-64.7,Critico
F0020,BRIDGE BARI,Puglia,82.0,74.65432098765432,0.0,,,-82.0,-100.0,Critico
F0022,BASSANO BRIDGE,Veneto,32.0,82.65625,6.0,76.83333333333333,4.166666666666667,-26.0,-81.2,Critico
F0023,BELLUNO BRIDGE,Veneto,14.0,78.5,7.0,68.28571428571429,2.857142857142857,-7.0,-50.0,Critico
F0024,BAVENO BRIDGE CLUB,Piemonte,53.0,76.90566037735849,54.0,74.55555555555556,73.0925925925926,1.0,1.9,Stabile
F0026,BERGAMASCA BRIDGE,Lombardia,128.0,76.125,82.0,69.3780487804878,49.47560975609756,-46.0,-35.9,Critico
F0028,C.LO BIELLESE BRIDGE,Piemonte,70.0,77.08571428571429,62.0,73.61290322580645,58.46774193548387,-8.0,-11.4,In Declino
F0030,BRIDGE BOLOGNA,Emilia-Romagna,279.0,73.63669064748201,157.0,71.4267515923567,76.63694267515923,-122.0,-43.7,Critico
F0032,ASS.BR.BOLZANO,TRB,37.0,75.56756756756756,23.0,73.3913043478261,20.0,-14.0,-37.8,Critico
F0034,BRIDGE BORDIGHERA,Liguria,58.0,72.45614035087719,61.0,73.04918032786885,72.09836065573771,3.0,5.2,Stabile
F0038,BRESCIA BRIDGE,Lombardia,98.0,74.88888888888889,87.0,73.50574712643679,54.41379310344828,-11.0,-11.2,In Declino
F0039,BRIDGE BRINDISI,Puglia,48.0,77.83333333333333,17.0,73.6470588235294,3.3529411764705883,-31.0,-64.6,Critico
F0044,BRIDGE CAGLIARI,Sardegna,45.0,78.88888888888889,42.0,76.52380952380952,86.4047619047619,-3.0,-6.7,Stabile
F0047,BRIDGE CAIRO MONTENOTTE,Liguria,15.0,71.13333333333334,0.0,,,-15.0,-100.0,Critico
F0050,BRIDGE CARRARA,Toscana,48.0,72.83333333333333,45.0,73.37777777777778,55.0,-3.0,-6.2,Stabile
F0051,ASD GOLF CLUB CARIMATE,Lombardia,13.0,85.38461538461539,0.0,,,-13.0,-100.0,Critico
F0054,BRIDGE CLUB CASERTA,Campania,14.0,76.57142857142857,0.0,,,-14.0,-100.0,Critico
F0055,BRIDGE LA MARTESANA,Lombardia,59.0,81.69491525423729,47.0,78.19148936170212,20.02127659574468,-12.0,-20.3,In Declino
F0058,BRIDGE CATANIA,Sicilia,51.0,71.3529411764706,72.0,69.54166666666667,98.13888888888889,21.0,41.2,Eccellente
F0059,BRIDGE CATANZARO,Calabria,74.0,77.25675675675676,51.0,72.88235294117646,46.68627450980392,-23.0,-31.1,Critico
F0060,BRIDGE CAVA,Campania,12.0,78.41666666666667,0.0,,,-12.0,-100.0,Critico
F0061,BR.MONFORTE CAMPOBASSO,Molise,25.0,78.57142857142857,2.0,73.5,10.5,-23.0,-92.0,Critico
F0066,BRIDGE CESENA,Emilia-Romagna,36.0,71.19444444444444,46.0,69.82608695652173,67.06521739130434,10.0,27.8,In Crescita
F0070,BRIDGE CHIAVARI,Liguria,66.0,74.37878787878788,62.0,72.03225806451613,43.32258064516129,-4.0,-6.1,Stabile
F0071,CHIANCIANO-CHIUSI D.,Toscana,4.0,89.25,0.0,,,-4.0,-100.0,Critico
F0072,CHIETI BRIDGE,Abruzzo,8.0,79.5,0.0,,,-8.0,-100.0,Critico
F0073,QUADRI LIVORNO,Toscana,36.0,73.27777777777777,0.0,,,-36.0,-100.0,Critico
F0074,"ASS.BRIDGE ""CIRCOLO UNIONE""",Lazio,10.0,74.4,27.0,75.66666666666667,57.925925925925924,17.0,170.0,Eccellente
F0079,BRIDGE CREMA,Lombardia,46.0,76.8913043478261,17.0,63.05882352941177,26.470588235294116,-29.0,-63.0,Critico
F0080,BRIDGE CREMONA,Lombardia,47.0,73.59574468085107,45.0,70.77777777777777,18.177777777777777,-2.0,-4.3,Stabile
F0082,PROVINCIA GRANDA,Piemonte,16.0,74.3125,8.0,71.125,22.5,-8.0,-50.0,Critico
F0088,EMPOLI BRIDGE,Toscana,62.0,75.40322580645162,62.0,70.2258064516129,37.95161290322581,0.0,0.0,Stabile
F0090,ESTE BRIDGE,Veneto,38.0,79.76315789473684,32.0,77.5625,27.5625,-6.0,-15.8,In Declino
F0091,BRIDGE FASANO,Puglia,31.0,74.58064516129032,30.0,71.03333333333333,38.0,-1.0,-3.2,Stabile
