Circolo,NomeCircolo,Regione,AllievoSB,RimastiSB,Convertiti,Persi,GareMedie,TassoConversione,TassoSuccesso,TassoChurn
I8016,UNITRE MILANO,Lombardia,13,0,0,13,2.3846153846153846,0.0,0.0,100.0
S0017,AVELLINO BRIDGE,Campania,6,0,0,6,1.0,0.0,0.0,100.0
S0020,BRIDGE BARI,Puglia,45,28,3,14,9.141369047619047,6.7,68.9,31.1
S0024,BAVENO BRIDGE CLUB,Piemonte,64,38,11,15,24.068300653594772,17.2,76.6,23.4
S0026,BERGAMASCA BRIDGE,Lombardia,135,65,39,31,19.254561000037974,28.9,77.0,23.0
S0028,C.LO BIELLESE BRIDGE,Piemonte,66,44,6,16,16.254495504495505,9.1,75.8,24.2
S0030,BRIDGE BOLOGNA,Emilia-Romagna,161,67,44,50,16.352158331434648,27.3,68.9,31.1
S0034,BRIDGE BORDIGHERA,Liguria,55,29,10,16,32.12222222222222,18.2,70.9,29.1
S0038,BRESCIA BRIDGE,Lombardia,97,36,20,41,29.98219814241486,20.6,57.7,42.3
S0044,BRIDGE CAGLIARI,Sardegna,82,52,12,18,16.683092011508162,14.6,78.0,22.0
S0050,BRIDGE CARRARA,Toscana,16,7,6,3,64.07777777777777,37.5,81.2,18.8
S0055,BRIDGE LA MARTESANA,Lombardia,15,5,0,10,5.160714285714286,0.0,33.3,66.7
S0058,BRIDGE CATANIA,Sicilia,133,74,31,28,65.48383067042607,23.3,78.9,21.1
S0059,BRIDGE CATANZARO,Calabria,19,1,12,6,14.984126984126982,63.2,68.4,31.6
S0066,BRIDGE CESENA,Emilia-Romagna,133,87,25,21,39.13360365360866,18.8,84.2,15.8
S0070,BRIDGE CHIAVARI,Liguria,54,27,10,17,13.523809523809524,18.5,68.5,31.5
S0073,QUADRI LIVORNO,Toscana,32,14,1,17,10.677777777777777,3.1,46.9,53.1
S0088,EMPOLI BRIDGE,Toscana,88,56,18,14,34.511752136752136,20.5,84.1,15.9
S0091,BRIDGE FASANO,Puglia,36,22,8,6,14.542222222222222,22.2,83.3,16.7
S0102,BRIDGE FORLI',Emilia-Romagna,136,76,17,43,37.102038476874,12.5,68.4,31.6
S0112,ASD POLISPORTIVA GRIFONE,Toscana,18,8,2,8,15.75,11.1,55.6,44.4
S0114,BR.SERSANTI-IMOLA,Emilia-Romagna,32,21,1,10,12.8125,3.1,68.8,31.2
S0120,BRIDGE IVREA,Piemonte,6,0,6,0,14.0,100.0,100.0,0.0
S0126,SPEZIA BRIDGE,Liguria,15,8,5,2,44.19444444444444,33.3,86.7,13.3
S0127,BRIDGE LATINA,Lazio,137,64,28,45,21.934752321981424,20.4,67.2,32.8
S0128,BRIDGE LECCE,Puglia,54,22,13,19,14.824074074074074,24.1,64.8,35.2
S0130,BRIDGE LECCO,Lombardia,9,8,1,0,8.444444444444445,11.1,100.0,0.0
S0132,BRIDGE LEGNANO,Lombardia,19,11,3,5,30.669444444444448,15.8,73.7,26.3
S0136,LIVORNO STANZE CIVICHE,Toscana,69,38,17,14,29.929059829059828,24.6,79.7,20.3
S0136,S.STANZE CIVICHE,Toscana,13,7,0,6,13.307692307692308,0.0,53.8,46.2
S0141,BRIDGE LUCCA,Toscana,93,60,18,15,26.60658692185008,19.4,83.9,16.1
S0142,BR.FILARMONICA MACERATA,Marche,6,1,1,4,1.6666666666666667,16.7,33.3,66.7
S0143,BRIDGE MAGLIE,Puglia,12,5,4,3,42.65714285714286,33.3,75.0,25.0
S0144,MINCIO BRIDGE MANTOVA,Lombardia,14,11,0,3,13.0,0.0,78.6,21.4
S0149,C.LO BRIDGE MESTRE,Veneto,122,70,19,33,16.82735554323597,15.6,73.0,27.0
S0150,BRIDGE MESSINA,Sicilia,21,11,5,5,23.327380952380953,23.8,76.2,23.8
S0158,"BR.MODENA ""C.LO PERROUX""",Emilia-Romagna,44,10,16,18,15.354040404040404,36.4,59.1,40.9
S0160,BRIDGE MONTECATINI,Toscana,18,13,3,2,17.036507936507935,16.7,88.9,11.1
S0160,MONTECATINI TERME BRIDGE,Toscana,6,0,5,1,15.666666666666666,83.3,83.3,16.7
S0162,MONZA BRIDGE,Lombardia,155,67,43,45,15.553590531811949,27.7,71.0,29.0
S0168,C.LO BRIDGE NOVARA,Piemonte,109,64,22,23,18.121166928309783,20.2,78.9,21.1
S0170,CIRCOLO BRIDGE ORISTANO,Sardegna,38,15,15,8,18.366666666666667,39.5,78.9,21.1
S0174,PADOVA BRIDGE,Veneto,31,13,7,11,22.179166666666667,22.6,64.5,35.5
S0174,PADOVA BRIDGE ASD,Veneto,52,30,9,13,21.215858585858587,17.3,75.0,25.0
S0178,ASS.BR.PALERMO,Sicilia,204,112,29,63,46.00369662819259,14.2,69.1,30.9
S0190,PESCARA BRIDGE,Abruzzo,98,56,27,15,34.67893411413148,27.6,84.7,15.3
S0196,BRIDGE PINEROLO,Piemonte,46,24,19,3,29.952116402116403,41.3,93.5,6.5
S0200,ASS.BRIDGE PISA,Toscana,7,4,0,3,6.428571428571429,0.0,57.1,42.9
S0202,BRIDGE PISTOIA,Toscana,161,93,33,35,16.800566059757237,20.5,78.3,21.7
S0209,BRIDGE PORDENONE,Friuli-Venezia Giulia,7,0,2,5,12.857142857142858,28.6,28.6,71.4
S0210,BRIDGE CLUB PRATO,Toscana,37,21,4,12,11.463290043290042,10.8,67.6,32.4
S0213,RECANATI BRIDGE,Marche,70,43,12,15,30.376020408163267,17.1,78.6,21.4
S0214,C.BRIDGE N.DITTO  RC,Calabria,21,6,3,12,11.38095238095238,14.3,42.9,57.1
S0214,"CIRCOLO DEL  BRIDGE ""N.DITTO""",Calabria,27,17,2,8,26.77777777777778,7.4,70.4,29.6
S0215,BRIDGE RICCIONE,Emilia-Romagna,6,3,0,3,12.833333333333334,0.0,50.0,50.0
S0217,ASS.RIMINI BRIDGE,Emilia-Romagna,144,86,25,33,25.02297459893048,17.4,77.1,22.9
S0219,AMICI DEL BRIDGE RI,Lazio,9,8,0,1,9.777777777777779,0.0,88.9,11.1
S0223,BRIDGE CLUB LA VALLEE  ASD,VAO,22,13,6,3,7.366666666666667,27.3,86.4,13.6
S0224,C.LO BRIDGE SALERNO,Campania,39,14,8,17,25.336111111111112,20.5,56.4,43.6
S0229,BRIDGE BOLOGNA RASTIGNANO,Emilia-Romagna,108,55,23,30,12.262896825396826,21.3,72.2,27.8
S0236,CARLOSTAMPA SASSUOLO,Emilia-Romagna,13,4,0,9,4.6625,0.0,30.8,69.2
S0248,SIENA BRIDGE,Toscana,51,26,4,21,12.741077441077442,7.8,58.8,41.2
S0253,BRIDGE SORRENTO,Campania,17,10,0,7,14.136363636363637,0.0,58.8,41.2
S0262,TERAMO BRIDGE,Abruzzo,7,0,0,7,6.714285714285714,0.0,0.0,100.0
S0266,ASS.BRIDGE TORINO,Piemonte,12,9,0,3,23.0,0.0,75.0,25.0
S0266,BRIDGE TORINO,Piemonte,176,91,27,58,20.881796962565655,15.3,67.0,33.0
S0270,BRIDGE CLUB TRENTO,TRT,15,3,7,5,14.86111111111111,46.7,66.7,33.3
S0272,TREVISO BRIDGE,Veneto,6,2,0,4,9.333333333333334,0.0,33.3,66.7
S0274,C.DEL BRIDGE TRIESTE,Friuli-Venezia Giulia,43,20,13,10,17.76923076923077,30.2,76.7,23.3
S0276,C.LO BR.CITTA' DI UD,Friuli-Venezia Giulia,12,6,3,3,17.9,25.0,75.0,25.0
S0280,BRIDGE VARESE,Lombardia,132,88,19,25,25.39772607458296,14.4,81.1,18.9
S0282,C.LO DEL BRIDGE VENEZIA,Veneto,52,32,7,13,9.918546365914787,13.5,75.0,25.0
S0300,BRIDGE VITERBO,Lazio,19,8,6,5,6.247619047619047,31.6,73.7,26.3
S0338,ANKON BRIDGE,Marche,13,4,5,4,18.1375,38.5,69.2,30.8
S0338,ANKON BRIDGE – RIVIERA DEL CONERO,Marche,32,11,6,15,13.685185185185185,18.8,53.1,46.9
S0339,LIGURIABRIDGE,Liguria,167,86,28,53,15.166665686366773,16.8,68.3,31.7
S0341,PLANET BRIDGE,Lombardia,41,20,8,13,19.705242673992675,19.5,68.3,31.7
S0343,BRIDGE CLUB DESIO,Lombardia,39,27,0,12,14.404761904761905,0.0,69.2,30.8
S0344,BR.SPORTING CLUB S.SEVERO,Puglia,5,2,0,3,8.4,0.0,40.0,60.0
S0345,BRIDGE CLUB FORTE DEI MARMI,Toscana,60,35,5,20,24.79875541125541,8.3,66.7,33.3
S0349,A.BERGAMASCA BR.LORETO,Lombardia,92,45,18,29,25.101575630252103,19.6,68.5,31.5
S0366,ASS.BRIDGE SORA,Lazio,28,17,0,11,6.01025641025641,0.0,60.7,39.3
S0369,BRIDGE CHIARAVALLE,Marche,35,20,7,8,20.952651515151516,20.0,77.1,22.9
S0376,BRIDGE PARTENOPE,Campania,19,11,5,3,33.79047619047619,26.3,84.2,15.8
S0387,AURELIA BRIDGE CLUB,Lazio,11,3,1,7,9.633333333333333,9.1,36.4,63.6
S0407,BRIDGE COSENZA,Calabria,13,4,4,5,30.452380952380953,30.8,61.5,38.5
S0411,A.BR.NINO MARCON VE,Veneto,71,47,11,13,33.72449494949495,15.5,81.7,18.3
S0418,ROMA TOP BRIDGE,Lazio,236,109,56,71,26.95281623138766,23.7,69.9,30.1
S0429,APSD C.MAGISTRATI C.C.,Lazio,34,18,3,13,11.172527472527472,8.8,61.8,38.2
S0430,IDEA BRIDGE TORINO,Piemonte,86,38,21,27,29.594549663299663,24.4,68.6,31.4
S0437,G.B.R.L.BARBERA,Calabria,66,34,13,19,19.728425411354472,19.7,71.2,28.8
S0442,JUNIOR BRIDGE CLUB PERUGIA,Umbria,5,2,0,3,14.0,0.0,40.0,60.0
S0442,JUNIOR BRIDGE CLUB PG,Umbria,31,4,20,7,14.046052631578947,64.5,77.4,22.6
S0443,ANGOLO VERDE PG,Umbria,20,11,6,3,11.904761904761905,30.0,85.0,15.0
S0444,BRIDGE CLUB SIRACUSA,Sicilia,10,8,0,2,14.5,0.0,80.0,20.0
S0447,BRIDGE EUR  S.S.D. A R.L.,Lazio,142,69,32,41,27.52865384615385,22.5,71.1,28.9
S0466,BRIDGE ICHNOS,Sardegna,234,128,37,69,24.66540569508565,15.8,70.5,29.5
S0472,BRIDGE FALCONARA,Marche,24,10,4,10,22.38095238095238,16.7,58.3,41.7
S0479,CLUB DI B.CONEGLIANO,Veneto,5,5,0,0,5.8,0.0,100.0,0.0
S0479,CLUB DI B.CONEGLIANO ASD,Veneto,18,7,7,4,6.779220779220779,38.9,77.8,22.2
S0482,ASD CANOTTIERI TICINO PAVIA,Lombardia,56,30,11,15,34.199389499389504,19.6,73.2,26.8
S0503,BRIDGE INSTITUTE 2000,Lombardia,254,107,64,83,12.487016837526799,25.2,67.3,32.7
S0504,BRIDGE JESI,Marche,45,20,6,19,30.682132682132686,13.3,57.8,42.2
S0505,BRIDGE TONARA,Sardegna,6,0,0,6,2.0,0.0,0.0,100.0
S0510,MES AMIS,Puglia,17,6,8,3,40.0,47.1,82.4,17.6
S0524,ROSSINI BR.PESARO,Marche,113,63,23,27,20.461163726624253,20.4,76.1,23.9
S0532,BR.ASS.COMOCANTUHELIOS,Lombardia,99,53,13,33,10.526825396825396,13.1,66.7,33.3
S0539,NUOVO BRIDGE INSIEME,Lazio,56,29,7,20,20.977777777777778,12.5,64.3,35.7
S0546,"C.LO DEL BRIDGE FI ""CAMILLO PABIS TICCI""",Toscana,93,53,23,17,15.321716105245518,24.7,81.7,18.3
S0546,CIRCOLO DEL BRIDGE FI,Toscana,43,28,9,6,11.160049019607845,20.9,86.0,14.0
S0558,QUARTU S.ELENA BR.,Sardegna,32,17,8,7,38.50972222222222,25.0,78.1,21.9
S0559,BRIDGE MARTINA,Puglia,32,20,4,8,21.966239316239317,12.5,75.0,25.0
S0566,CIRCOLO BRIDGE CAGLI,Marche,79,39,11,29,19.793638224520578,13.9,63.3,36.7
