Circolo,NomeCircolo,Regione,AllievoSB,RimastiSB,Convertiti,Persi,GareMedie,TassoConversione,TassoSuccesso,TassoChurn
I8016,UNITRE MILANO,Lombardia,13,0,0,13,2.3846153846153846,0.0,0.0,100.0
S0055,BRIDGE LA MARTESANA,Lombardia,15,5,0,10,5.160714285714286,0.0,33.3,66.7
S0136,S.STANZE CIVICHE,Toscana,13,7,0,6,13.307692307692308,0.0,53.8,46.2
S0144,MINCIO BRIDGE MANTOVA,Lombardia,14,11,0,3,13.0,0.0,78.6,21.4
S0236,CARLOSTAMPA SASSUOLO,Emilia-Romagna,13,4,0,9,4.6625,0.0,30.8,69.2
S0253,BRIDGE SORRENTO,Campania,17,10,0,7,14.136363636363637,0.0,58.8,41.2
S0266,ASS.BRIDGE TORINO,Piemonte,12,9,0,3,23.0,0.0,75.0,25.0
S0343,BRIDGE CLUB DESIO,Lombardia,39,27,0,12,14.404761904761905,0.0,69.2,30.8
S0366,ASS.BRIDGE SORA,Lazio,28,17,0,11,6.01025641025641,0.0,60.7,39.3
S0444,BRIDGE CLUB SIRACUSA,Sicilia,10,8,0,2,14.5,0.0,80.0,20.0
S0642,BRIDGE CITTA' DEL TRICOLORE,Emilia-Romagna,10,4,0,6,2.7,0.0,40.0,60.0
S0695,PALLADIO BRIDGE,Veneto,17,10,0,7,8.955555555555556,0.0,58.8,41.2
S0713,HELVIA CLUANA,Marche,18,9,0,9,6.458333333333333,0.0,50.0,50.0
S0715,ARCA BRIDGE ASD,Lombardia,14,10,0,4,5.357142857142857,0.0,71.4,28.6
S0726,APD TENNIS CLUB PRESIDENT,Emilia-Romagna,10,5,0,5,18.4,0.0,50.0,50.0
S0758,CASTELVECCHIO VERONA,Veneto,16,7,0,9,1.375,0.0,43.8,56.2
S0770,C.LO TENNIS GALATINA ASD,Puglia,14,0,0,14,1.4285714285714286,0.0,0.0,100.0
S0771,ASS.POLISPORTIVA DIL.PALOCCO,Lazio,14,2,0,12,7.285714285714286,0.0,14.3,85.7
S0791,REALE C.LO CANOTTIERI TEVERE REMO ASD,Lazio,12,6,0,6,3.9166666666666665,0.0,50.0,50.0
S1601,CIRCOLO BRIDGE CATANIA,Sicilia,40,23,0,17,9.650475341651811,0.0,57.5,42.5
