Circolo,NomeCircolo,Regione,AllievoSB,RimastiSB,Convertiti,Persi,GareMedie,TassoConversione,TassoSuccesso,TassoChurn
S0740,ASD GOLF CLUB VILLA CAROLINA,Piemonte,12,0,11,1,4.014285714285714,91.7,91.7,8.3
S0442,JUNIOR BRIDGE CLUB PG,Umbria,31,4,20,7,14.046052631578947,64.5,77.4,22.6
S0059,BRIDGE CATANZARO,Calabria,19,1,12,6,14.984126984126982,63.2,68.4,31.6
S0754,BRIDGE CUSANO MILANINO,Lombardia,59,19,30,10,31.959920634920636,50.8,83.1,16.9
S0510,MES AMIS,Puglia,17,6,8,3,40.0,47.1,82.4,17.6
S0270,BRIDGE CLUB TRENTO,TRT,15,3,7,5,14.86111111111111,46.7,66.7,33.3
S0723,GLI SPORT DELLA MENTE ASD,Umbria,20,6,9,5,21.523809523809526,45.0,75.0,25.0
S0196,BRIDGE PINEROLO,Piemonte,46,24,19,3,29.952116402116403,41.3,93.5,6.5
S0170,CIRCOLO BRIDGE ORISTANO,Sardegna,38,15,15,8,18.366666666666667,39.5,78.9,21.1
S0479,CLUB DI B.CONEGLIANO ASD,Veneto,18,7,7,4,6.779220779220779,38.9,77.8,22.2
S0338,ANKON BRIDGE,Marche,13,4,5,4,18.1375,38.5,69.2,30.8
S0756,BRIDGE  TACITUS,Umbria,13,5,5,3,8.35,38.5,76.9,23.1
S0050,BRIDGE CARRARA,Toscana,16,7,6,3,64.07777777777777,37.5,81.2,18.8
S0158,"BR.MODENA ""C.LO PERROUX""",Emilia-Romagna,44,10,16,18,15.354040404040404,36.4,59.1,40.9
S0730,LATINA PROGETTO BRIDGE,Lazio,62,20,22,20,20.49461038961039,35.5,67.7,32.3
S0594,CIRCOLO EREMITANI,Veneto,80,26,28,26,22.986058897243108,35.0,67.5,32.5
S0126,SPEZIA BRIDGE,Liguria,15,8,5,2,44.19444444444444,33.3,86.7,13.3
S0143,BRIDGE MAGLIE,Puglia,12,5,4,3,42.65714285714286,33.3,75.0,25.0
S0745,CECINA BRIDGE,Toscana,91,43,29,19,11.431866224053724,31.9,79.1,20.9
S0300,BRIDGE VITERBO,Lazio,19,8,6,5,6.247619047619047,31.6,73.7,26.3
