Provincia,Tesserati,GareMedie,EtaMedia,PuntiTotali,Agonisti,Popolazione,TesseratiPer100k,IsCittaMetropolitana,Regione
Roma,1794,44.98327759197324,72.27034559643255,8554913.0,313,4250000,42.21176470588235,True,LAZ
Milano,1130,38.835398230088494,73.69734513274337,4259635.0,154,3250000,34.76923076923077,True,LOM
Torino,551,61.39201451905626,72.21234119782214,2897003.0,105,2230000,24.708520179372194,True,PIE
Cagliari,404,56.29455445544554,71.55445544554455,1130504.0,65,430000,93.95348837209302,True,SAR
Bologna,382,57.81151832460733,71.41361256544502,2041374.0,74,1020000,37.450980392156865,True,EMI
Genova,286,39.44405594405595,70.23776223776224,2566638.0,89,823000,34.75091130012151,True,LIG
Palermo,274,63.167883211678834,71.3905109489051,1176370.0,50,1230000,22.276422764227643,True,SIC
Venezia,232,66.04310344827586,74.14655172413794,650566.0,27,845000,27.455621301775146,True,VEN
Catania,227,73.57709251101322,68.59030837004406,1320990.0,49,1070000,21.214953271028037,True,SIC
Napoli,226,39.63716814159292,71.64159292035399,1841158.0,91,2970000,7.60942760942761,True,CAM
Firenze,214,34.74766355140187,69.81308411214954,2319821.0,77,995000,21.507537688442213,True,TOS
Bari,149,23.23489932885906,70.28187919463087,238838.0,17,1230000,12.113821138211382,True,PUG
Reggio Calabria,127,39.69291338582677,63.48031496062992,571654.0,31,530000,23.962264150943398,True,CAB
Messina,127,74.50393700787401,73.21259842519684,846868.0,40,615000,20.65040650406504,True,SIC
