Categoria,Tesserati,EtaMedia,GareMedie,PuntiMedi,PuntiCampMedi,%,Livello,Ordine
NC,5228,69.550164314711,19.959831675592962,557.4875669472074,76.72666411629686,38.3,Non Classificato,0.0
3F,964,72.46991701244814,40.20124481327801,2151.874481327801,259.50414937759336,7.1,Terza,5.0
3Q,640,73.3171875,45.2125,3066.8640625,426.1984375,4.7,Terza,6.0
3C,729,73.94924554183814,44.415637860082306,4729.622770919067,605.9931412894376,5.3,Terza,7.0
3P,1005,71.63880597014925,55.9910447761194,6250.151243781094,847.2218905472637,7.4,Terza,8.0
2F,472,72.5042372881356,51.858050847457626,8055.224576271186,1844.4618644067796,3.5,Seconda,9.0
2Q,382,73.16492146596859,58.324607329842934,10171.164921465968,2397.0732984293195,2.8,Seconda,10.0
2C,775,73.3883870967742,60.803870967741936,12711.424516129033,2660.4025806451614,5.7,Seconda,11.0
2P,552,70.85507246376811,70.65036231884058,16053.730072463768,4954.246376811594,4.0,Seconda,12.0
1F,451,70.86696230598669,57.22616407982262,18666.769401330377,7553.144124168514,3.3,Prima,13.0
1Q,278,69.89928057553956,67.80575539568345,24557.13309352518,9424.107913669064,2.0,Prima,14.0
1C,714,74.07422969187675,73.96358543417367,39819.12745098039,11475.330532212885,5.2,Prima,15.0
1P,546,70.31684981684981,101.63919413919415,44374.24908424908,16619.214285714286,4.0,Prima,16.0
HJ,383,69.69190600522194,76.92167101827677,64771.033942558744,25281.660574412534,2.8,Honor Fante,17.0
HQ,150,68.06666666666666,77.12,79062.06666666667,31557.32,1.1,Honor Dama,18.0
HK,74,67.36486486486487,85.70270270270271,90050.64864864865,34777.10810810811,0.5,Honor Re,19.0
HA,107,71.27102803738318,86.00934579439253,126978.30841121495,50522.07476635514,0.8,Honor Asso,20.0
MS,65,67.78461538461538,53.723076923076924,102866.27692307692,43671.338461538464,0.5,Master Series,21.0
LM,47,64.53191489361703,57.702127659574465,118560.06382978724,57593.17021276596,0.3,Life Master,22.0
GM,98,53.93814432989691,39.02040816326531,162788.306122449,68464.90816326531,0.7,Grand Master,23.0
Ordinario Sportivo,0,,0.0,,0.0,0.0,,
