Regione,Tesserati,GareMedie,EtaMedia,PuntiTotali,Agonisti,Popolazione,TesseratiPer100k
LAZ,2001,42.91954022988506,72.53623188405797,8326525.0,326,5763000.0,34.72149921915669
LOM,1714,40.289381563593935,72.63418903150524,8163747.0,282,10041000.0,17.070012946917636
EMI,1152,49.572916666666664,69.15972222222223,6285467.0,256,4456000.0,25.85278276481149
TOS,932,44.3293991416309,70.08905579399142,6397643.0,244,3695000.0,25.223274695534503
PIE,773,54.21992238033635,70.87968952134541,3932576.0,171,4295000.0,17.997671711292202
VEN,716,53.93156424581006,74.92877094972067,3021739.0,103,4885000.0,14.65711361310133
SIC,704,69.4502840909091,70.54829545454545,3463002.0,161,4873000.0,14.446952595936795
SAR,515,51.80776699029126,71.64660194174758,1331467.0,78,1616000.0,31.86881188118812
MAR,468,39.50854700854701,68.76923076923077,1743431.0,102,1497000.0,31.2625250501002
LIG,457,42.47045951859956,71.08533916849015,3762991.0,133,1523000.0,30.00656598818122
PUG,400,27.5325,69.3875,1075693.0,81,3935000.0,10.165184243964422
CAM,335,37.865671641791046,70.66567164179105,3020860.0,134,5648000.0,5.931303116147308
CAB,251,37.657370517928285,68.54183266932272,938703.0,51,1895000.0,13.245382585751978
FRI,183,51.98360655737705,75.11475409836065,761137.0,35,1203000.0,15.211970074812967
UMB,168,39.833333333333336,73.9702380952381,785403.0,47,870000.0,19.310344827586206
ABR,161,39.0,70.54037267080746,855874.0,30,1295000.0,12.432432432432433
TRT,101,28.782178217821784,75.8019801980198,462546.0,24,545000.0,18.532110091743117
VAO,25,52.92,71.4,128323.0,4,,0.0
   ,19,18.94736842105263,80.78947368421052,0.0,1,,0.0
BAS,18,10.0,78.77777777777777,11470.0,0,550000.0,3.2727272727272725
FIB,8,1.5,44.625,7160.0,1,,0.0
MOL,2,10.5,73.5,2430.0,0,297000.0,0.6734006734006734
