Regione,Anno,Tesserati,GiocatoriUnici,Circoli,EtaMedia,GareMedie,PuntiMedi,Under40,Over70,ScuolaBridge,Agonisti,Maschi,Femmine,Tess2017,VariazionePct,RetentionMedia
Lombardia,2025,2380,2380,71,71.7948717948718,40.39495798319328,14647.547899159665,83,1458,285,421,1231,1149,3592,-33.7,80.0
Lazio,2025,2159,2159,61,72.45298749421028,42.37563686892079,14202.771653543306,56,1395,271,353,996,1163,3218,-32.9,76.1
Emilia-Romagna,2025,1413,1413,37,68.77353149327672,49.42675159235669,15299.4635527247,58,715,252,327,788,625,1654,-14.6,83.8
Piemonte,2025,1139,1139,35,70.38279192273924,51.53467954345918,14243.155399473222,46,661,186,226,594,545,1544,-26.2,79.6
Toscana,2025,1125,1125,36,70.05604982206405,44.08177777777778,15900.504,22,609,138,302,622,503,1318,-14.6,82.3
Veneto,2025,930,930,38,73.6741935483871,52.12150537634409,15181.472043010752,26,629,118,154,456,474,1177,-21.0,83.2
Sicilia,2025,813,813,29,69.1709717097171,67.86346863468634,15917.691266912669,50,444,102,184,432,381,974,-16.5,83.5
Sardegna,2025,573,573,17,71.12914485165794,50.71378708551483,8409.244328097731,7,327,133,88,260,313,721,-20.5,82.7
Marche,2025,570,570,28,68.38245614035088,39.38070175438597,13743.552631578947,32,302,98,126,309,261,676,-15.7,81.2
Liguria,2025,514,514,17,71.02529182879377,41.93774319066148,22104.83073929961,10,293,46,149,258,256,765,-32.8,81.1
Puglia,2025,470,470,23,69.18936170212766,27.97872340425532,9693.906382978723,10,239,119,95,243,227,483,-2.7,79.5
Campania,2025,384,384,21,70.2578125,37.3046875,18694.3046875,16,228,33,156,194,190,520,-26.2,80.2
Calabria,2025,281,281,14,68.75444839857651,37.06761565836299,11872.747330960854,12,152,73,55,158,123,315,-10.8,78.9
Friuli-Venezia Giulia,2025,244,244,7,73.68852459016394,47.00819672131148,10862.344262295082,4,171,22,51,130,114,332,-26.5,83.3
Abruzzo,2025,194,194,8,70.99484536082474,40.097938144329895,15103.9793814433,3,114,33,40,99,95,137,41.6,83.6
Umbria,2025,184,184,7,73.6195652173913,39.380434782608695,7996.423913043478,2,129,12,52,100,84,288,-36.1,82.0
TRT,2025,138,138,6,74.66666666666667,26.057971014492754,7482.971014492754,1,93,7,31,70,68,108,27.8,80.5
FIB,2025,66,66,2,42.083333333333336,1.878787878787879,22.454545454545453,6,1,0,1,55,11,1,6500.0,35.7
VAO,2025,34,34,2,71.11764705882354,52.88235294117647,12392.470588235294,1,22,5,5,18,16,41,-17.1,88.9
   ,2025,27,27,1,78.5925925925926,19.88888888888889,2642.962962962963,0,21,3,3,19,8,46,-41.3,4.1
Basilicata,2025,20,20,1,78.55,10.3,6524.7,0,20,0,0,11,9,20,0.0,85.1
Molise,2025,2,2,1,73.5,10.5,3406.0,0,2,0,0,2,0,25,-92.0,64.6
