Regione,Anno,Giocatori,Ritesserati,Retention
Puglia,2017->2018,483,424,87.8
Puglia,2018->2019,474,430,90.7
Puglia,2019->2020,681,430,63.1
Puglia,2020->2021,471,255,54.1
Puglia,2021->2022,299,248,82.9
Puglia,2022->2023,334,282,84.4
Puglia,2023->2024,374,331,88.5
Puglia,2024->2025,428,361,84.3
Calabria,2017->2018,315,270,85.7
Calabria,2018->2019,373,280,75.1
Calabria,2019->2020,321,221,68.8
Calabria,2020->2021,230,161,70.0
Calabria,2021->2022,204,167,81.9
Calabria,2022->2023,201,171,85.1
Calabria,2023->2024,220,182,82.7
Calabria,2024->2025,255,209,82.0
Campania,2017->2018,520,452,86.9
Campania,2018->2019,660,519,78.6
Campania,2019->2020,637,424,66.6
Campania,2020->2021,448,290,64.7
Campania,2021->2022,343,309,90.1
Campania,2022->2023,381,333,87.4
Campania,2023->2024,395,346,87.6
Campania,2024->2025,402,321,79.9
Piemonte,2017->2018,1544,1299,84.1
Piemonte,2018->2019,1783,1361,76.3
Piemonte,2019->2020,1766,1199,67.9
Piemonte,2020->2021,1299,847,65.2
Piemonte,2021->2022,946,800,84.6
Piemonte,2022->2023,984,849,86.3
Piemonte,2023->2024,1081,937,86.7
Piemonte,2024->2025,1105,951,86.1
Toscana,2017->2018,1318,1145,86.9
Toscana,2018->2019,1447,1179,81.5
Toscana,2019->2020,1386,1059,76.4
Toscana,2020->2021,1175,843,71.7
Toscana,2021->2022,1004,829,82.6
Toscana,2022->2023,1070,905,84.6
Toscana,2023->2024,1060,931,87.8
Toscana,2024->2025,1135,984,86.7
Lazio,2017->2018,3218,2787,86.6
Lazio,2018->2019,3427,2829,82.6
Lazio,2019->2020,3395,2527,74.4
Lazio,2020->2021,2680,1518,56.6
Lazio,2021->2022,1930,1465,75.9
Lazio,2022->2023,2092,1582,75.6
Lazio,2023->2024,2140,1637,76.5
Lazio,2024->2025,2173,1744,80.3
Lombardia,2017->2018,3592,3197,89.0
Lombardia,2018->2019,3942,3281,83.2
Lombardia,2019->2020,3730,2837,76.1
