Categoria,Selettivi,GareMedie,PuntiMedi,PctCampMedia,EtaMedia
1P,884,56.79185520361991,31856.20701357466,70.84014545905936,69.37443438914028
1F,662,40.09818731117825,15780.711480362537,85.47068345062141,66.56797583081571
2P,489,48.486707566462165,13211.525562372188,74.51685863501062,69.52147239263803
1C,403,47.173697270471465,26424.89081885856,74.25604292060306,69.0074441687345
NC,383,25.03916449086162,618.1906005221932,89.71350115404007,61.72584856396867
1Q,356,45.168539325842694,22175.13202247191,76.71853234866968,67.58426966292134
HJ,308,50.37012987012987,38500.15909090909,72.45165602489281,68.00649350649351
3F,292,28.5,1426.6815068493152,127.6708319093397,66.54794520547945
2C,251,39.788844621513945,10179.80079681275,94.00114567074405,70.12749003984064
2F,227,36.25991189427313,6157.801762114537,81.75023132871999,70.27753303964758
2Q,196,39.173469387755105,8199.479591836734,76.58857938163185,70.09183673469387
3P,158,38.64556962025316,4986.291139240507,76.62015856639685,67.71518987341773
3C,136,31.470588235294116,3622.9117647058824,75.72451590930143,67.65441176470588
3Q,111,33.729729729729726,2539.981981981982,77.70389714083171,67.33333333333333
HQ,79,45.721518987341774,48290.037974683546,71.36629996954692,64.12658227848101
MS,71,43.183098591549296,51614.30985915493,125.83929838124679,67.49295774647888
LM,61,35.557377049180324,59657.59016393442,130.89943438189104,67.50819672131148
GM,35,29.428571428571427,79869.88571428572,68.5748100133268,65.85714285714286
HK,24,53.583333333333336,58758.25,68.284232314795,68.0
HA,22,40.09090909090909,71307.81818181818,65.42279335011737,71.36363636363636
4Q,8,19.375,1010.125,68.9398666014356,79.125
4F,7,22.857142857142858,384.42857142857144,66.70873722567201,72.28571428571429
4P,6,32.833333333333336,1915.0,77.42212430515681,80.5
4C,2,22.0,689.0,72.33416332398099,65.5
